adentro,inside
afuera,outside
carpeta,file
carpetas,folders
cocinera,cook
cocinero,Cook
cocineros,chefs
compañía,company
compañías,companies
completando,completing
completaron,completed
completaste,you completed
diciendo,saying
director,director
directoras,directors
durmiendo,sleeping
edificio,building
edificios,buildings
empresaria,businesswoman
empresarias,businesswomen
empresario,entrepreneur
empresarios,businessmen
gerente,manager
gerentes,managers
horario,schedule
llamada,call
llamadas,calls
muriendo,dying
oyendo,hearing
pedir,ask for
pidiendo,asking
pintor,painter
pintora,painter
pintoras,female painters
pintores,painters
presidenta,Chairwoman
presidentas,female presidents
presidente,President
presidentes,presidents
programa,Program
programas,programs
repetir,to repeat
repitiendo,repeating
trabajadora,worker
trabajadoras,workers
trabajadores,workers
trayendo,bringing
yendo,going
