cara,expensive
caras,faces
cepillarse,brush
cepillo,brush
cepillo de dientes,toothbrush
cepillos,brushes
diente,tooth
dientes,teeth
lavarse,wash up
llave,key
llaves,keys
mano,hand
manos,hands
me cepillo,I brush
me lavo,I wash myself
mía,mine
mío,Own
nos cepillamos,we brush
nos duchamos,we showered
nos lavamos,we wash
nos
                    levantamos,we got up
nos llamamos,We call each other
nos ponemos,we get
nos sentimos,we feel
nuestra,our
nuestras,our
nuestro,our
nuestros,our
se cepilla,he brushes
se cepillan,they brush
se duchan,they take a shower
se lava,Wash
se lavan,Washing
se levantan,they get up
se ponen,are placed
se sienten,they feel
suyas,his
suyo,yours
te cepillas,you brush
