televisiones,televisions
esponja,sponge
cuna,"crib, cradle"
horno,"oven, furnace"
sartén,"pan, frying pan, fry pan"
secadora,dryer
sótano,"basement, cellar"
rasuradoras,razors
rasuradora,razor
refrigeradora,refrigerator
secretario,secretary
jueces,"judges, referees"
juez,"judge, referee"
jueza,"judge, referee"
guardia,"guard, police officer, policeman"
profesoras,"professors, lecturers, schoolteacher"
profesores,professors
profesora,"teacher, professor"
profesor,"professor, teacher"
poeta,poet
soldado,"soldier, knitted, knitted together"
soldados,soldiers
periodista,"journalist, reporter"
capitán,"captain, flight lieutenant, master"
capitana,"captain, flagship"
actora,"plaintiff, actress"
actoras,actresses
coronel,colonel
especialidad,"specialty, medicine, singularity"
príncipe,prince
comandante,"commander, captain, commanding officer"
agentes,"employees, agents, officers"
agente,agent
especialista,"specialist, expert, stuntman"
especialistas,"specialists, experts"
sacerdotes,priests
sacerdotisa,priestess
sacerdote,priest
panadera,baker
panadero,baker
carpintero,"carpenter, joiner"
carpintera,carpenter
granjero,farmer
granjera,"farmer, farmers"
granjeros,farmers
cajeras,cashiers
cajeros,cashiers
cajero,cashier
cocinero,cook
cocinera,cook
cocineros,cooks
segunda,"second, second gear, second class"
desde,"from, since, as"
enfermeros,nurses
enfermeras,nurses
enfermera,nurse
enfermero,nurse
madrugada,"dawn, daybreak"
