bilingüe,bilingual
finales,"final, finals, ultimate"
final,"final, finals, ultimate"
ciertas,"true, certain"
ciertos,"certain, true"
positiva,"positive, print!"
positivas,"positive, (you) print"
positivo,"positive, optimistic"
familiar,"familiar, family, colloquial"
capaz,"capable, able, able to"
plano,"flat, level"
plana,"flat, handwriting exercise, page"
justo,"fair, right, just"
justa,"right, fair, competition"
natural,"natural, easier, easy"
naturales,"natural, innate, natives"
tradicionales,traditional
tradicional,traditional
rica,"rich, tasty, wealthy"
rico,"rich, delicious, tasty"
ricas,"delicious, rich, tasty"
ricos,"rich, delicious, tasty"
