canté,(I) sang
cantó,"sang, (?) did he sing, (he) sang"
cogieron,(they) took
cogiste,"(?) did you take, get, (you) took"
cogió,(he) took
cogí,"got, get, made"
comprende,(he) understands
comprenden,(they) understand
comprender,"(to) understand, understand"
comprendes,(?) do you understand
comprendo,understand
dibujamos,"(we) drew, (we) draw"
dibujaron,"(you) drew, (?) did you draw, draw"
dibujé,(I) drew
dibujó,"(he) drew, (she) drew"
ejemplo,example
ejemplos,examples
empecé,"(I) started, (I) began"
empezaron,"(?) did you start, (they) started, start"
empezaste,"(you) started, (?) did you start"
empezó,"(?) did it start, (he) began, (he) started"
encuentran,(they) find
enseñamos,"(we) are teaching, (we) taught, (we) teach"
enseñando,teaching
enseñar,"teaching, (to) teach, taught"
enseñaron,"(they) taught, taught"
enseñaste,"(you) taught, (?) did you teach"
enseñé,"taught, (I) taught"
estudiaron,"study, (?) did you study, (they) studied"
estudió,"study, studied, (he) studied"
habló,"(he) spoke, (he) talked, speak"
me preocupo,"I'm worried, (I) worry"
me siento,feel
necesitar,"need, (to) need, needed"
nos sentamos,"(we)  sit, (?) should we sit"
olvidamos,"(we) forget, (we) forgot, forget"
olvidaron,"forgot, (they) forgot"
olvidaste,(?) did you forget
parar,(to) stop
preocupar+prpers,worry + prpers
preocuparme,"(to) worry, worrying, worry"
preocuparnos,"(to) worry, worry"
preocuparse,"(to) worry (oneself), worry, worried"
preocuparte,"(to) worry, worry"
responde,"(he) answers, (he) is answering, (you) answer"
respondemos,(we) answer
responden,(they) answer
responder,"answer, (to) answer"
respondes,(you) answer
respondieron,"answer, (they) answered"
respondimos,(we) answered
respondiste,"answer, (you) answered"
respondió,"answer, (he) answered, (she) answered"
respondo,(I) answer
se preocupan,"(they) worry, (they) care about"
se sientan,"(they/you-plural)  feel, (they/you-plural)  seat, (they/you-plural)  sit"
sentarnos,"(to) sit, sit"
te preocupas,(you) worry
te sientas,"(?) are you sitting, (you)  seat, (you)  sit"
tomaron,"(?) did you drink, (they) had, (they) took"
tomaste,"take, (?) did you drink, (you) ate"
tomé,"(I) took, (I) had, take"
tomó,"(?) did it take, (he) took, (it) took"
vi,"(I) saw, see, (I) watched"
vieron,"(they) saw, (they) watched"
vio,"(?) did you see, (he) watched, (she) saw"
viste,"(you) saw, (?) did you see, (?) did you watch"
