abril,April
agosto,August
buen tiempo,good time
cómo está el tiempo,how's the weather
diciembre,December
enero,January
febrero,February
hace calor,Is it hot
hace frío,it's cold
invierno,winter
inviernos,"winter, winters"
julio,"July, Julio"
junio,June
llueve,"(?) does it rain, (it) rains, it's raining"
mal tiempo,bad weather
marzo,March
mayo,May
mes,month
meses,"months, month"
nieva,"(?) is it snowing, snow, (it) snows"
noviembre,November
nublado,cloudy
octubre,October
oscuro,dark
oscuros,dark
otoños,"autumns, falls"
primavera,spring
primaveras,spring
qué tiempo hace,what's the weather like
septiembre,September
sol,"sun, sunny"
viento,"wind, windy"
vientos,"winds, guy rope, guys"
