nevar,"(to) snow, snowing, snow"
llover,"(to) rain, raining"
caluroso,"hot, warm"
frío,"cold, cold weather"
comenzar,"start, starting, (to) begin"
todo,"everything, all, whole"
clima,weather
nevando,snowing
encantar,"(to) love, love"
dormimos,"(we) sleep, (we) slept"
comenzamos,"(we) started, (?) do we start, (we) begin"
lloviendo,raining
encontrarme,(to) meet up
primero,"first, 1, 1st"
caminó,"(she) walked, walk, (?) did you walk"
lluvia,rain
árbol,tree
me encuentro,(I) meet up
comienzo,"start, beginning, (I) begin"
haber,"(to) have, (to) be, be"
duermo,"sleep, (I) sleep, (I) fall asleep"
llovió,"(it) rained, rain"
nevó,"(it) snowed, snow"
fue un,was a
fueron unos,were some
corrió,"(she) ran, run, (you) ran"
nos encontramos,"(we) are meeting up, meeting, (?) are we meeting up"
montaste,"(?) did you ride, start, ride"
