acabar,"(to) finish, finish"
acordarme,remember
acordarnos,remember
acordarte,remember
ah,"ah, oh"
barba,"beard, beards"
boca,mouth
brazo,arm
brazos,arms
cabeza,head
cabezas,"heads, bunches, hairs"
cerré,"(I) closed, close, (I) shut"
cuerpo,body
cuerpos,"bodies, to have something to drink, corpses"
despertarme,(to) wake up
despertarnos,"(to) wake up, waking up, waking"
despertarse,(to) wake up
despertarte,(to) wake up
despiertas,"(you) wake up, (?) do you wake up"
encima,"on, above, on top of"
gustó,like
lleva puesto,"he's wearing, (he) is wearing, (?) is he wearing"
me acuerdo,I remember
me despierto,I wake up
me levanté,I got up
narices,noses
nariz,nose
nos acordamos,"(we) remembered, remember, (we) remember"
nos despertamos,"(?) are we waking up, (we) wake up"
nos levantamos,"(we) got up, (?) are we getting up, (we) get up"
oigo,"(I) hear, (I) listen"
oye,"hey, (you) hear"
oyen,(they) hear
oyes,"(you) hear, (?) do you hear"
oímos,"(we) hear, (we) heard"
oír,"(to) hear, (to) listen, hear"
pierna,leg
piernas,legs
queda,"remains, (she) gets together, is"
quedamos,are we getting together
quedan,"(they/you-plural) are left, (they) get together, (they/you-plural) stay"
quedar,"(to) stay, (to) get together, keep"
quedas,you meet
quedo,(I) get together
se acuerda,he remembers
se acuerdan,remember
se despierta,"(he/she/it)  arouses, (he/she/it)  whets, (he/she/it)  wakes (up)"
se despiertan,"(they/you-plural)  wake (up), (they/you-plural)  whet, (they/you-plural)  arouse"
se levantaron,they rose
se levantó,"(?) did he get up, (she) got up"
sentirnos,"feel, (to) feel"
sentirse,"(to) feel, be, feeling"
sentirte,"feel, (to) feel"
soñar,"(to) dream, dream, dreaming"
te acuerdas,do you remember
te despiertas,you wake up
te levantaste,you got up
