más,"more, most, above"
menos,"less, minus, fewer"
que,"to, that, than"
blusa,blouse
cómodo,"comfortable, comfy, convenient"
gorra,"cap, hat"
chaqueta,jacket
tan,"so, as, that"
como,"(I) eat, as, (I) am eating"
bello,"beautiful, pretty"
bajos,"short, low"
famoso,famous
mejor,"better, best, instead"
peor,"worse, worst"
delgado,thin
gordo,fat
el más,the most
la más,the most
el peor,the worst one
el mejor,the best
mundo,world
tan bonito,so pretty
qué elegante,how elegant
qué interesante,interesting
es tan,is it so
qué divertido,What fun
tan bonita,so pretty
popular,popular
