asunto,affair
asuntos,affairs
añade,Add
añadir,Add
añado,I add
clara,clear
claras,clear
claro,Clear
contacto,Contact
contactos,contacts
di,gave
dieron,they gave
digital,digital
digitales,digital
dimos,we gave
dio,gave
diste,you gave
e,and
ellas se,they know
ellos se,they know
enteramos,we found out
enteraron,found out
enterarse,find out
enteraste,did you find out
enteré,I found out
enteró,whole
estudio,study
estudios,studies
formulario,form
querer decir,mean
quería decir,I wanted to say
quiere decir,means
quieren decir,They mean
quieres decir,you mean
salida,exit
salidas,Departures
se,I know
se la,I know the
se las,I know them
se los,I know them
software,software
tú
                    se,you know
web,Web
él se,he knows
