acompañaremos,we will accompany
acompañará,will accompany
acompañarán,will accompany
acompañaré,I will accompany
anda,go
andamos,we walk
andan,they walk
andar,walk
carrera,career
clic,click
compartir,to share
compartiremos,we will share
compartiré,i will share
común,common
construiremos,we will build
construirá,will build
construirán,will build
construiré,i will build
conversaremos,we will talk
conversarán,they will talk
conversarás,you will talk
conversaré,I will talk
diseña,designs
diseñar,design
diseñé,i designed
diseñó,design
exactamente,exactly
felicidades,Congratulations
hoja,leaf
hojas,sheets
igual,Same
izquierda,left
la parte de abajo,the bottom
lado,side
libre,free
me tumbo,I lie
me veré,I'll see myself
modelo,model
modelos,Models
nos tumbamos,we lay down
nos veremos,see you later
organicé,organized
organizar,organize
organizas,you organize
organizaste,you organized
querer,want
querremos,we will want
querrá,will want
querrán,they will want
querrás,you will want
querré,I will want
recibir,to receive
recibiremos,we will receive
recibirán,will receive
recibirás,you will receive
reservar,Reserve
reservaremos,we will reserve
reservará,will reserve
reservarán,they will reserve
reservarás,you will reserve
reservaré,I will book
se tumba,lies down
se tumban,they lie down
se verá,it will be seen
sino,otherwise
te verás,you will see you
tipo,type
tumbarme,lie down
