anillo,ring
anillos,rings
apagaba,turned off
apagaban,turned off
apagar,to turn off
apagábamos,we turned off
atractivo,attractive
atractivos,attractive
beberemos,we will drink
beberá,will drink
beberán,they will drink
beberás,you will drink
beberé,I will drink
bebía,drank
bebíamos,we drank
bebían,drank
bebías,drank
cantaba,sang
cantabas,you sang
conducir,to drive
doble,double
dorada,golden
doradas,golden
dorado,golden
encendía,turned on
encendíamos,we lit
encendían,lit
encendías,you lit
entraba,came in
entrábamos,we entered
enviamos,we send
enviar,send
envié,I sent
escuchábamos,we listened
esperaba,I expected
esquiaba,skied
esquiaban,they skied
esquiábamos,we skied
fuerte,strong
fumaba,used to smoke
fumó,smoked
gastamos,We spend
gastaste,you spent
gasto,spent
gastó,spent
me acostaba,I went to bed
me acostaré,i will lie down
me
                    fui,I left
me iba,I was leaving
me iré,I will go
menos mal,goodness
nadando,swimming
nadábamos,we swam
nos acostaremos,we will lie down
nos iremos,we will go
rap,rap
real,real
reales,real
rock,rock
se acostaban,they slept
se fue,he went away
se iba,was going
se iban,They were leaving
se irá,it will go
te acostabas,you lay down
te acostarás,you will lie down
te fuiste,you left
te ibas,you were leaving
te irás,you will leave
verdadera,true
verdaderas,true
verdadero,true
verdaderos,true
vestir,wear
vestíbulo,lobby
