abuelas,grandmothers
abuelo,grandfather
abuelos,grandparents
americanas,american
americano,American
baloncesto,basketball
conciertos,concerts
deporte,sport
deportes,sports
escuchar,to listen
familias,families
hermanas,sisters
hermano,brother
hermanos,brothers and sisters
le encanta,he loves it
le gusta,likes
marido,husband
mayor,higher
mayores,greater
menor,minor
menores,minors
nos encanta,we love
nos gusta,we like
nuestra,our
nuestras,our
nuestro,our
nuestros,our
padres,fathers
películas,films
se llaman,called
simpáticas,nice
simpático,sympathetic
simpáticos,nice
toca,touch
tocamos,we touch
tocan,touch
tocar,touch
tocas,you touch
toco,I play
