ahí,there
anuncios,advertisements
coge,take
cogemos,we take
cogen,take
coger,take
cojo,lame
dura,hard
duro,Lasted
el azul,the blue
el mío,mine
el rojo,the Red
elegimos,we choose
elige,choose
eligen,choose
eliges,you choose
elijo,I choose
emocionante,exciting
encontraste,by contrast
encontré,I found
encontró,found
graciosa,funny
graciosas,funny
gracioso,funny
la amarilla,the yellow
la tuya,yours
las nuestras,our
no,not
oraciones,prayers
pagaste,you paid
querer,want
sí,Yeah
usando,wearing
vida,lifetime
vidas,lives
