acuerdo,agreement
acuerdos,agreements
administración,administration
agricultura,farming
alcalde,mayor
alcaldesa,mayoress
arresto,arrest
arrestos,arrests
campaña,campaign
candidata,candidate
candidato,candidate
candidatos,candidates
civil,civil
civiles,civilians
comunidad,community
conflicto,conflict
conflictos,conflicts
congreso,congress
constitución,Constitution
cooperación,cooperation
corrupción,corruption
crimen,crime
debate,debate
declaraciones,statements
declaración,declaration
defensa,defending
democracia,democracy
democrática,democratic
democrático,democratic
demócrata,democrat
derecho,right
derechos,Rights
dictadura,dictatorship
dictaduras,dictatorships
discurso,speech
diálogo,dialogue
déficit,deficit
ejército,army
elecciones,elections
elección,choice
electoral,electoral
electorales,electoral
embajador,ambassador
embajadora,ambassador
estabilidad,stability
estrategia,strategy
federación,federation
federal,federal
gobernador,governor
gobierno,government
humano,human
ilegal,illegal
imperio,empire
imperios,empires
impuesto,tax
impuestos,taxes
independencia,independence
justicia,Justice
legislación,legislation
libertad,Liberty
líder,Leader
líderes,leaders
manifestaciones,demonstrations
manifestación,manifestation
ministerio,ministry
ministra,minister
ministro,Minister
oposición,opposition
organismo,organism
organismos,organisms
organizaciones,organizations
organización,organization
pobreza,poverty
poder,can
poderes,powers
política,politics
políticas,policies
político,political
políticos,politicians
presidencia,presidency
presidencial,presidential
presupuesto,budget
pública,public
públicas,public
público,public
públicos,public
republicano,republican
república,republic
riqueza,wealth
riquezas,riches
seguridad,safety
senador,senator
senadores,senators
social,Social
socialista,socialist
sociedad,society
violencia,violence
