abre,opens
barata,cheap
baratas,cheap
barato,cheap
baratos,cheap
busca,search
buscamos,we seek
buscar,seek
buscas,you seek
busco,I search
cara,expensive
caras,faces
caro,expensive
caros,expensive
catorce,fourteen
cierra,close
cuesta,cost
cuestan,they cost
de compras,Shopping
diecinueve,nighteen
dieciocho,eighteen
diecisiete,seventeen
dieciséis,sixteen
dólar,dollar
dólares,Dollars
en efectivo,cash
me puedo probar,I can try
mí,my
pesos,pesos
precio,price
precios,prices
probador,fitting room
probadores,testers
quince,fifteen
tallas,sizes
tarjeta de crédito,credit card
ti,you
tienda,shop
tiendas,stores
trece,thirteen
veinte,twenty
