almorzar,to have lunch
almorzaron,they had lunch
almorzaste,did you have lunch
aprobamos,we approve
aprobar,Approve
aprobaron,approved
aprobaste,you passed
aprobé,I approved
balonmano,handball
carreras,careers
copa,Cup
corredora,runner
corredoras,runners
corredores,runners
cuaderno,notebook
dormí,I slept
entendimos,we understood
entendiste,you understood
equipo,equipment
equipos,teams
gana,win
ganar,win
ganas,desire
ganaste,Won
historia,history
kilómetro,kilometer
kilómetros,kilometres
lavamos,we wash
lavar,wash
lavaste,you washed
lavé,washed
leyeron,they read
leyó,read
leímos,we read
leíste,did you read
libro de texto,Text book
libros de texto,textbooks
limpiamos,we clean
limpiar,clean up
limpiaste,you cleaned
limpié,I cleaned
química,chemistry
tazón,mug
tocamos,we touch
tocar,touch
tocó,touched
tomamos,we take
tomaron,they took
tomaste,do you drink tea
tomé,take
tomó,I take
varias,several
varios,several
