a lo largo de,throughout
a lo largo del,along the
acampaba,he was camping
acampando,camping
acampas,you camp
bádminton,badminton
cartas,cards
colecciona,collect
coleccionaba,collected
coleccionabas,you collected
coleccionan,collect
cometa,kite
cometas,kites
dibujos,drawings
esquiar,ski
estampillas,stamps
gorra,Cap
hockey,hockey
maravillosas,wonderful
maravilloso,marvelous
me,I
navegaba,was sailing
navegamos,we sail
navegué,I sailed
pop,pop
postal,Postcard
prestar,to loan
prestas,lend
prestaste,you lent
presto,presto
presté,lent
raqueta,racket
rompecabezas,puzzle
tanto,so much
tantos,so many
te,tea
velero,sailboat
