acabar,finish
acordarme,remember
acordarnos,remember
acordarte,remember
ah,oh
barba,beard
boca,mouth
brazo,arm
brazos,arms
cabeza,head
cabezas,heads
cerré,I closed
cuerpo,body
cuerpos,bodies
despertarme,wake up
despertarnos,wake us up
despertarse,wake up
despertarte,wake you
despiertas,wake up
encima,above
gustó,taste
lleva puesto,wearing
me acuerdo,I remember
me despierto,I wake up
me levanté,I got up
narices,nose
nariz,nose
nos acordamos,we remember
nos despertamos,we wake up
nos levantamos,we got up
oigo,i hear
oye,hears
oyen,hear
oyes,you hear
oímos,we heard
oír,hear
pierna,leg
piernas,legs
queda,is left over
quedamos,we stay
quedan,remain
quedar,stay
quedas,stay
quedo,I stay
se acuerda,he remembers
se acuerdan,remember
se despierta,wakes up
se despiertan,they wake up
se levantaron,they rose
se levantó,got up
sentirnos,feel us
sentirse,feel
sentirte,feel you
soñar,Sound
te acuerdas,do you remember
te despiertas,you wake up
te levantaste,you got up
