calidad,"quality, status"
llevaste,"(you) took, (?) did you take, (you) wore"
llevado,"taken, worn, born"
llevas,"(?) can you carry, (?) do you carry, (you) are carrying"
llevan,"(they) are carrying, (they) wear"
llevaba,"Wearing, (I/he/she/it/you) was/were wearing, (I/he/she/it/you) was/were taking"
llevaron,"(?) did you take, take, (they) carried"
llevarnos,"(?) did you take, take, (they) carried"
llevé,"(I) took, (I) drove, (I) wore"
llevar,"take, (to) take, (to) bring"
llevó,"(?) has he packed, (he) carried, (he) took"
llevarle,"(to) drive (him/her/it), (to) lead (him/her/it), (to) wear (him/her/it)"
llevo,"(I) wear, (I) take, (I) am carrying"
llevamos,"(we) took, (we) are carrying"
llevando,"taking, carrying, wearing"
entero,"whole, whole number, (whole) lottery ticket"
entera,"whole, (he/she/it) finds out, (he/she/it) pays"
las afueras,the outskirts
parques de atracciones,amusement parks
parque de atracciones,amusement park
principal,"main, capital, principal"
principales,main
solamente,only
habitantes,inhabitants
linda,nice
lindas,"sweets, cutes, lovelies"
lindo,"nice, pretty"
plazas,"cities, places, positions"
plaza,"square, plaza, park"
silencioso,"noiseless, quiet, silent"
silenciosas,"noiseless, quiet, silent"
silenciosos,quiet
silenciosa,"noiseless, quiet, silent"
silenciosamente,silently
zona,"zone, area, place"
curiosas,"nosy, strange, neat"
curiosos,"busybodies, odds, strange"
curiosa,"nosy, strange, neat"
curioso,"nosy, strange, neat"
artículos,"better, articles, stories"
artículo,"article, entry"
frecuentes,"frequent, (you) frequent"
frecuente,"frequent!, (I/he/she/it/you) frequent"
causa,"cause!, (you-formal) cause, (you-formal) arouse"
causas,"causes, (you) arouse, (you) cause"
daño,damages
daños,"damages, damage, curses"
títulos,"bonds, securities, headers"
título,"title, degree"
crisis,"crisis, crises (pl.)"
dañó,injured
daña,damages
dañar,"injured, harm, bother"
escaparon,flew
escapó,flew
escapar,"climbing, (to) climb, climb"
escapado,flew
escapen,climb
mundiales,"World, Global, World Championship(s)"
mundial,"World, World Championship(s), Global"
paz,peace
causó,"produced, caused"
causaron,produced
causan,"(they/you-plural) cause, (they/you-plural) arouse"
población,"population, city, colony"
por el momento,for the moment
reciente,"recent, hottest"
recientes,recent
recientemente,recently
según,"according to, it depends, as"
situaciones,"situations, locations, positions"
situación,"situation, location, position"
total,"total, in the end, resounding"
actual,"materials, actual"
actuales,"current, presents"
actualmente,currently
publican,"(they/you-plural) disclose, (they/you-plural) divulge, (they/you-plural) publish"
publicar,"divulged, disclosed, published"
publicaron,publications
publicó,public
publicado,"published, disclosed, divulged"
página web,"website, site"
páginas web,websites
crea,(you) create
creó,(she) created
crearon,creation
crear,"(to) create, create, thoughts"
cree,"(?) does he think, (he) believes, (he) thinks"
creé,(you) create
creen,"(?) do they believe, (they) think"
crean,"(they/you-plural) create, (they/you-plural) think, (they/you-plural) bring"
creaste,(?) did you create
creo,"(I) think, (I) believe, (?) do I create"
creas,"(you) think, (you) believe, (?) do you think"
creado,"created, brought, caused"
creamos,cream
videojuegos,video game
videojuego,videogame
me senté,I sat down
recordó,"(he) remembered, (she) remembered"
devolví,(I) returned
devolvimos,"(we) threw up, (we) sent back, (we) was/were sick"
giramos,"(we) turn, (?) do we turn, turned"
conocernos,"(to) meet (us), (to) get to know (us), (to) know oneself (us)"
quedaste,"(you)  stayed, (?) did you stay"
nos conocimos,we met
preguntarme,"(to) ask (them), (to) wonder (them)"
lloró,"(he) cried, (she) cried, cry"
recordé,(I) remembered
acabó,"finished, (he/she/it/you) finished, finish"
instalar,"(to) install oneself, (to) put, (to) settle"
manejamos,"(we) are driving, (we) drive"
quedamos,are we getting together
volvieron,"(they/you-plural) returned, (they/you-plural) turned, (they/you-plural) made"
instalaste,you installed
nos tumbamos,we lay down
pedirle,(to) order them
instalamos,we install
dolió,"hurt, (he/she/it/you) hurt"
nos quitamos,we take off
instalaron,"facilities, facility, installation"
instaló,"(he/she/it) plumbs in, (you-formal) put up, (you-formal) install oneself"
recordamos,"(we) remember, (we) remembered"
volvió,"(he/she/it/you) returned, (he/she/it/you) went back, (he/she/it/you) came back"
lloraron,"cry, (they) cried"
quedé,"(she) kept, stay"
quedaron,"(they) stayed, (they) kept, (?) did they stay"
se sentó,he sat
devolvieron,"solved, resolved, work"
intenté,"(I) tried to, try"
quedó,"(she) kept, stay"
intentó,"(he/she/it/you) tried to, attempted, tried"
intentaste,(you) tried to
instalé,"(he/she/it) plumbs in, (you-formal) put up, (you-formal) install oneself"
guardarlo,"(to) save (him/it), (to) keep (him/it), (to) observe (him/it)"
tableta,tablet
tabletas,tablet
buzón de voz,voicemail
chateó,"she chats, chat"
chateamos,we chat
chatearon,"to chat, they chat"
chateé,"she chats, chat"
chateando,"to chat, they chat"
chateaste,you chatted
conectaste,you connected
conectamos,scored
conectar,"scored, open, online"
conectó,scored
conecté,scored
conectaron,scored
se comunica,communicates
comunicarse,communicate
se comunicó,he has communicated
se comunicaron,they communicated
comunicarme,communicate
comunicarte,communicate
te comunicas,you communicate
comunicarnos,communicate
nos comunicamos,we communicate
cable,"wire, cable"
informática,"computer, computer science"
anteayer,the day before yesterday
tecnología,"technology, tech"
experto,"professional, expert, practiced"
expertas,experts
expertos,experts
experta,"professional, expert"
contraseña,password
contraseñas,password
arroba,"(to) pass, get, pass"
foro,"fit, shape"
blog,blow
blogs,blouse
subí,"(I) went up, (I) was/were produced, get on!"
subimos,"climbed, (we) climbed, (we) upload"
sube,(you) go up
subió,"(he/she/it/you) took / turn up, (he/she/it/you) raised, (he/she/it/you) took up office/one's post"
subes,up
subieron,"rose, up, (?) did they get on"
subir,"up, (to) get on, (to) get in"
subiste,"rose, up"
subido,"walked up, climbed, deep"
publicidad,"advertising, advertisement, advertisements"
publicidades,"publicity, advertising, publicities"
tema,"subject, issue, theme"
temas,"subjects, topics, (you) be afraid of"
solución,"solution, answer"
soluciones,"solutions, (you) be resolved, (you) resolve"
se conectaron,they connected
conectarte,scored
me conecté,I connected
conectarme,scored
conectarse,scored
exacta,"accurate, exact"
exactas,"accurate, exact"
exacto,"even, accurate, exact"
borrar,"erased, clear, cleans"
borramos,"clear, clean, cleaned"
borraste,clean
borré,cleaned
personal,"personal, staff"
personales,"personal, helps, peoples"
oportunidades,"opportunities, chances, downs"
oportunidad,"opportunity, chance, broken"
honesta,honest
honestas,honest
honestos,honest
honesto,honest
incorrecta,"wrong, impolite, incorrect"
incorrecto,"wrong, impolite, incorrect"
incorrectas,"wrong, impolite, incorrect"
para,"for, to, (he) stops"
opciones,options
opción,"option, choice"
descripción,description
descripciones,description
decisiones,"decisions, decisiveness"
decisión,"decision, call, decisiveness"
o,"or, and"
discutiendo,arguing
discutir,"(to) discuss, (to) argue"
discutimos,"we have an argument, (we) debated, (we) dispute"
discute,"(you-formal) debate, quarrel!, (he/she/it) quarrels"
discutieron,(they) discussed
discutí,"(you-formal) debate, quarrel!, (he/she/it) quarrels"
obvia,"(I) get around, (I) obviate, distinct"
obvios,"(I) get around, (I) obviate, distinct"
obvio,"(I) get around, (I) obviate, distinct"
distintas,"different, distinct, several"
distintos,"different, distinct, several"
distinto,"different, distinct, several"
distinta,"different, distinct, several"
ni,"nor, neither, not"
imposible,impossible
importancia,"importance, import"
necesaria,"necessary, inevitable, needed"
necesarias,"necessary, inevitable, needed"
necesario,"necessary, needed"
necesarios,"necessary, needed, inevitable"
opinión,"opinion, mind, view"
opiniones,"opinions, views"
único,"only, only one, unique"
única,only
únicos,"only, only one, extraordinary"
veces,times
vez,time
sentido,"felt, sense, direction"
puntos de vista,points of view
punto de vista,point of view
ventajas,"advantages, benefits, starts"
ventaja,"advantage, start"
experiencias,"experiments, experiences"
experiencia,"experience, experiment"
progreso,"(I) progress, (I) make progress"
progresos,progresses
ya,"already, now, anymore"
novela,"novel, write a novel about!, (you-formal) write a novel about"
novelas,"novels, (you) make / turn … into a novel, (you) write a novel about"
románticos,romantic
romántica,romantic
románticas,romantic
romántico,romantic
capítulos,"episodes, chapters, areas"
capítulo,"chapter, episode, area"
poemas,poems
poema,poems
charlaremos,we will chat
charla,chat
charlar,chargers
se llamarán,they will be called
leerlo,(to) read (him/it)
escribirle,(to) write (him/her/it)
se llamará,Will be called
párrafo,"paragraph, chat, talk"
párrafos,"paragraph, chat, talk"
veremos,"(we) will see, (we) will watch"
usarán,"use, (they/you-plural) will use, (they/you-plural) will wear"
escribirán,write
llegará,will be arriving
escribirás,"write, (you) will write"
verán,"see, (they) will see, (they) will watch"
reparará,(he) will repair
usaremos,"use, (we) will use, (we) will wear"
dormirá,"sleep, (he/she/it/you) will sleep, (he/she/it/you) will fall asleep"
llamará,"call, (he/she/it/you) will call, (he/she/it/you) will call up"
llegaremos,"(we) will arrive, (we) will come, (we) will be"
verá,"see, (she) will see, hear"
quedaré,"stay, (I) will stay, (I) will be"
cocinaremos,"cook, (we) will cook, (we) will bake"
caminará,"(he/she/it/you) will walk, walk"
llamaré,"(I) will call, (I) will give you a call, I'll call"
darás,"(you) will go / flow into, (you) will face, (you) will deal"
cocinaré,"cook, (I) will cook, (I) will bake"
servirá,"will, (he/she/it/you) will serve, (he/she/it/you) will work"
crecerá,"(to) grow, (to) rise, (to) spread"
ayudaremos,"help, (we) will help, (we) will help oneself"
traerán,(they) will be bringing
llegarán,"(they) will be arriving, arrive, come"
volveré,"(I) will make, (I) will return, (I) will be sick"
escribiré,"write, (I) will write, writing"
quedaremos,"(we) will stay, (we) will be, (we) will keep"
traeré,"I'll get, (I) will get, (I) will bring"
elegirá,"(he/she/it/you) will choose, (he/she/it/you) will elect, elect"
elegiremos,"(we) will choose, (we) will elect, return"
agregaré,(I) will add
abrirá,(it) will open
servirán,"(they/you-plural) will serve, (they/you-plural) will function, (they/you-plural) will work"
escribirá,"write, (he/she/it/you) will write, writing"
trabajaré,"(I) will act, (I) will knead, (I) will mix"
elegirán,"(they/you-plural) will choose, (they/you-plural) will elect, return"
encontraremos,"find, (we) will find, (we) will be"
quedarás,"(you) will stay, (you) will keep, (you) will be"
volverá,"(she) will become, (she) will come"
veré,"(I) will see, (I) will be seeing, I'll see"
elegirás,"(you) will choose, (you) will elect"
encontrarás,"find, (you) will find, (you) will encounter"
encontrará,"find, (he/she/it/you) will find, (he/she/it/you) will spot"
quedará,"(he/she/it/you) will be, (he/she/it/you) will stay, (he/she/it/you) will keep"
dará,(he) will give
compraré,"(I) will buy, (I) will get, I'll buy"
gustará,(he) will like
ganarán,"win, take, get"
aprobarás,"(to) pass, get, pass"
intentaré,"try, (I) will try to"
romperá,"(he/she/it/you) will break, (he/she/it/you) will break down, (he/she/it/you) will break up"
seguiré,"follow, (I) will follow, (I) will continue"
aprenderá,"(he/she/it/you) will learn, learn"
tomaré,"I'll get, (I) will have, (I) will drink"
explicaremos,we will explain
añadiré,(I) will add
enseñaré,"present, show"
aprenderás,"(you) will learn, learn"
verás,"(you) will see, (you) will watch"
escribiremos,"write, (we) will write"
deberá,(you) will have
cocinarás,"cook, (you) will cook, (you) will boil"
daré,"(I) will give, I'll give"
escritora,"writer, author"
escritoras,writer
escritor,writer
escritores,"writers, authors"
breve,"square, balanced, breve"
breves,"square, balanced, breve"
literatura,literature
textos,"texts, books"
texto,"text, book"
creativas,creative
creativa,creative
creativo,creative
protagonista,"protagonist, leading actor, main character"
protagonistas,"protagonist, leading actor, main character"
usada,"used, worn"
usados,"used, use, wear"
amor,"love, darling, dear"
leeremos,"read, (we) will read"
leeré,"read, (I) will read"
leerán,read
leerá,"read, (he/she/it/you) will read"
leerás,"read, (you) will read"
terminaré,"close, finished, end"
terminará,"end, (he/she/it/you) will come to an end, (he/she/it/you) will end"
terminarás,"(you) will come to an end, (you) will run out, (you) will be over"
terminaremos,"end, (we) will end up, (we) will come to an end"
autobiografía,autobiography
firmamos,"(we) sign, (we) sign on, (we) signed"
firmen,"sign!, sign on!, (they/you-plural) sign"
firmar,"sign, signed"
firmo,"(I) sign, (I) sign on, (I) register as unemployed"
firman,"(they/you-plural) sign, (they/you-plural) sign on, (they/you-plural) register as unemployed"
firmaremos,we will sign
firmas,"(you) sign, (you) sign on, (you) register as unemployed"
firmarán,"shot, filmed, they did film"
firme,"sign!, sign on!, (I/he/she/it/you) sign"
firma,"(he/she/it) signs, signature, firm"
firmará,"sign, signed"
ciencia ficción,science fiction
estudiarás,"read, take"
estudiará,"(he/she/it/you) will study, read, (he/she/it/you) will learn"
estudiaré,"read, take"
estudiaremos,(we) will study
estudiarán,"read, study, take"
hispanos,hispanic
hispana,hispanic
traduciré,"(to) translate, (to) convey"
traducir,"(to) translate, (to) convey"
traducirán,"(to) translate, (to) convey"
traduciremos,we will translate
traduciendo,translating
traducirás,"(to) translate, (to) convey"
empezarás,take
empezará,"(it) will begin, (she) will begin"
empezarán,(they) will begin
empezaremos,"start, open, we will start"
empezaré,"(I) will start, (I) will begin, (I) will open"
pasaba,"(I/he/she/it/you) used to pass (on), (I/he/she/it/you) used to spend, (I/he/she/it/you) used to happen"
pasaban,"play, show, spend"
pasas,"(you) spend, (?) are you spending, (?) can you pass"
pasábamos,"(we) passed (on), (we) happened, (we) used to happen"
pasa,"(he) is spending, happens"
pasan,(they) are spending
pasado,"last, past, given"
pasar,"(to) pass, (to) spend, happen"
pasamos,"spend, (we) spent, (we) are spending"
pasé,"(I) spent, (I) passed, (I) had"
pasando,"happening, going on, having"
pasó,"happened, (?) did it happen, (he) had"
paso,"step, (I) spend, (I) am spending"
pasaron,(they) passed
uso,"(I) use, (I) wear, (I) am wearing"
agrega,"(you-formal) add, (he/she/it) adds, add!"
asa,"(you) grill, (you) roast"
organiza,"organize, organizes"
seca,dry
prepara,"(he) makes, (it) prepares, (you) prepare"
vengan,"(they) come, come"
tengan,(they) have
salgan,leave
traigan,bring
pongan,"put!, put in!, (they/you-plural) put in"
oigan,"hear, hey"
bolsillos,pockets
bolsillo,pocket
reserve,"(?) did you reserve, reserved, reserve"
prepare,"(to) prepare, prepare, (to) get ready"
envíe,(you) send
llene,"full, (you) fill out, crowded"
regrese,(you) come back
zapatos deportivos,sneakers
a través del,through the
a través de,through
licencia,license
descanse,breaks
estacione,park
repare,repair
corte,"(I/he/she/it/you) cut off, cut oneself!, chop down!"
empuje,"go, push, drove"
compre,buy
repaso,Renato
significado,"meaning, drawn attention to oneself, distinguished oneself"
frase,"phrase, sentence"
frases,"phrases, sentences"
resumen,"sum up, summarizing"
útiles,"useful, helpful"
útil,useful
contábamos,"count on, we used to count"
contaste,"tell, told"
conté,"tell, told"
contar,"tell, (to) count, (to) tell"
contó,"(he/she/it/you) counted, (he/she/it/you) told, (he/she/it/you) counted on"
contamos,"(we) count, (we) count on, (we) rely on"
cuenta,"check, bill, account"
cuento,"(I) tell, story"
cuentan,"tell, (they/you-plural) count, (they/you-plural) count on"
cuentas,"(you) count on, accounts, bills"
apruebo,"touch, (I) try"
aprueba,"(they) are trying, (they) try, touch"
apruebas,"(they) are trying, (they) try, touch"
aprobamos,(we) passed
aprobarás,"(to) pass, get, pass"
aprobar,"(to) pass, get, pass"
aprobaron,pass
recuerdan,(?) do you remember
recordamos,"(we) remember, (we) remembered"
recuerdas,"(you) remember, (?) do you remember"
recordé,(I) remembered
recordando,"recalling, reminding, remembering"
recuerdo,"(I) remember, memory"
recordó,"(he) remembered, (she) remembered"
recordar,"remember, (to) remember, remembering"
recuerda,"remember, (she) remembers"
lecciones,"lessons, classes"
lección,lesson
resultados,"results, performance"
resultado,"result, worked"
apuntes,"notes, prepared notes, (you) achieve"
para,"for, to, (he) stops"
memorizarla,memorize it
memorizan,memorize
memorizar,memorize
apoyo,"(I) support, (I) rest, (I) back"
instructores,instructors
instructor,instruction
instructoras,instructors
traduzco,i translate
traducir,"(to) translate, (to) convey"
traducirla,"(to) translate, (to) convey"
traducen,"translated, conveyed"
traduce,"translated, conveyed"
contenido,"content, contained, contained oneself"
corregirlas,correct them
corregirás,you will correct
corregir,"runner, hall"
corrijo,"(we) used to run, flew"
traducciones,translations
traducción,translation
corrige,"(we) used to run, flew"
corrigen,running
corriges,correct
tareas,"homework, jobs, tasks"
tarea,"homework, task"
al llegar,arriving
al salir,(I) left
suena,"(?) does it sound, (it) sounds, sound"
me río,I laugh
me caigo,"(I)  fall, (I)  let drop / fall, (I)  hang"
me puede cambiar,can change me
pediré,"(I) will ask for, (I) will bags, (I) will need"
pediste,"(you) bags (past), (you) begged, (you) had dibs on"
pedí,"need!, (I) asked, (I) asked for"
pedimos,"(we) ordered, (we) asked, (we) ask"
al entrar,to enter
al regresar,upon returning
pidió,"(he/she/it/you) asked for, (he/she/it/you) asked, (he/she/it/you) begged"
te ríes,you laugh
te caes,you fall
cómo puedo ir,How can I go
bajarte,(to) get off
bajarnos,(they) went down
al ver,seeing
al escuchar,when listening
nos reímos,"(we)  laughed, (we)  laugh"
pidieron,"(they/you-plural) had dibs on, (they/you-plural) ordered, (they/you-plural) bags (past)"
me bajo,I am getting off
se bajan,"(they/you-plural)  descend, (they/you-plural)  drop, (they/you-plural)  go down"
nos bajamos,"(we) are getting off, (we)  descend, (we)  drop"
nos caemos,we fall
funcionar,"(to) work, go, going"
al cruzar,to cross
al conducir,when driving
se ríe,Serie
se ríen,(they/you-plural)  laugh
se cae,"(he/she/it)  lets drop / fall, (he/she/it)  hangs, (he/she/it)  falls"
se caen,"(they/you-plural)  let drop / fall, (they/you-plural)  hang, (they/you-plural)  fall"
funcionan,"go, work, (they/you-plural) work"
funcionó,"go, worked, work"
funciona,"go, work, working"
