diciendo,"saying, telling"
carpetas,folders
carpeta,folder
pedir,"ask, (to) ask for, (to) make"
gerente,manager
gerentes,managers
gerenta,manager
gerentas,managers
horario,schedule
pidiendo,"asking for, asking"
adentro,"inside, in"
durmiendo,"sleeping, falling asleep"
muriendo,dying
yendo,"going, leaving"
oyendo,"hearing, getting, listening"
trayendo,"bringing, getting"
trabajadores,workers
trabajadoras,workers
trabajadora,"hard-working, worker"
trabajador,worker
pintor,"painter, artist"
pintores,painters
pintoras,painters
pintora,painter
repetir,(to) repeat
programa,"program, show, software"
programas,"programs, (you) draw up a program for, (you) timetable"
compañía,company
compañías,"companies, business, businesses"
presidentes,presidents
presidente,president
presidenta,president
increíble,"amazing, awesome, incredible"
completar,"(to) complete, (to) finish, finish"
empresaria,businesswoman
empresarios,"businessmen, businesspeople"
empresario,businessman
completando,completing
completamos,(they) completed
completaron,(they) completed
completa,(you) complete
completaste,(?) did you complete
completé,"(I) finished, (I) completed, (I) filled out / in"
repitiendo,repeating
edificios,buildings
edificio,building
cocineros,cooks
cocinera,cook
cocinero,cook
directora,director
director,director
directoras,directors
directores,directors
afuera,"outside, out"
llamada,call
llamadas,calls
