actividad,activity
actividades,activities
cigarrillos,"cigarette, cigarettes"
cita,"appointment, date"
cuello,neck
cuellos,neck
cuida,"(he) takes care, (you) look after"
cuidan,"(they) look after, watch, (they) take care"
cuidar,"(to) look after, (to) take care, (to) take care of"
cuidas,(?) do you take care of
debería,"(I) should, (she) should, (you) should"
deberías,(you) should
dedo,finger
dedos,fingers
descansar,"resting, (to) rest"
descansaron,(?) did they rest
descansas,(you) rest
descansaste,(?) did you rest
descanso,"break, rest"
descansó,(he) rested
doler,"(to) hurt, hurt, hurts"
dolor,"pain, hurt"
dr.,Dr.
dra.,Dr.
duele,"hurt, (?) does it hurt, (it) hurts"
duelen,"(?) do they hurt, (they) hurt"
ejercicio,exercise
enfermeras,nurses
enfermeros,nurses
espalda,back
espaldas,"take on, backs, to shoulder"
estómago,stomach
estómagos,stomachs
hay que,one must
jabones,soaps
jabón,soap
me cepillé,i brushed
mover,(to) move
nos cepillamos,"(we) are brushing, (we) brush"
pálida,pale
pálido,pale
salud,health
se cepillaron,they brushed
se cepilló,brushed
te cepillaste,you brushed
