felices,happy
tristes,sad
preocupadas,worried
preocupados,worried
enojadas,"angry, mad"
enojados,"angry, mad"
nerviosos,nervous
nerviosas,nervous
nervioso,nervous
nerviosa,nervous
sorprendidos,surprised
sorprendidas,surprised
emocionados,excited
emocionadas,excited
cansados,tired
cansadas,tired
ocupadas,busy
ocupados,busy
limpio,"clean, (I) clean, (I) wash"
limpia,"clean, (he) washes, (she) cleans"
limpios,clean
limpias,"clean, (you) clean, (?) can you clean"
sucia,dirty
sucios,dirty
sucias,dirty
sucio,dirty
abierta,open
abiertas,open
abiertos,open
abierto,"open, made, opened"
cerradas,closed
cerrado,closed
cerrados,closed
cerrada,closed
enfermas,"ill, sick"
enfermos,"sick, patients, sick people"
altas,tall
altos,tall
es grande,is big
guapas,"good-looking, pretty"
guapa,good-looking
guapos,good-looking
guapo,"handsome, good-looking"
rubios,blond
rubias,"blonde, blond"
rubia,"blonde, blond"
rubio,blond
morena,brunette
morenos,"brown, brunette, dark-skinned"
morenas,brunettes
moreno,"brunette, dark-haired"
amarilla,yellow
amarillo,yellow
amarillos,yellow
amarillas,yellow
negros,black
negro,black
negra,black
negras,black
es divertido,it's fun
es muy simpático,Is very nice
inteligentes,"intelligent, smart"
perezosas,lazy
perezoso,lazy
perezosa,lazy
perezosos,lazy
estudiosos,studious
estudioso,studious
estudiosas,studious
estudiosa,studious
personas,people
persona,person
responsable,responsible
responsables,responsible
