alfombras,carpets
apaga,turns off
apagada,off
apagadas,turned off
apagado,switched off
apagados,turned off
apagar,to turn off
apagas,you turn off
apagaste,you turned off
apagó,turned off
cafetera,coffee maker
creo que debería,I think I should
creo que deberías,I think you should
cómoda,comfortable
cómodas,comfortable
dormida,asleep
dormidas,asleep
dormido,asleep
dormidos,asleep
dormir,to sleep
encendemos,we turn on
encender,light
encendida,turned on
encendidas,lit
encendido,switched on
encendidos,turned on
encendieron,they turned on
encendí,I turned on
espejo,mirror
espejos,Mirrors
estufas,stoves
lavadora,washer
lavadoras,washing machines
luces,lights
luz,light
lámpara,lamp
lámparas,lamps
muebles,furniture
perder,to lose
perdida,loss
perdidas,losses
perdido,lost
pintada,graffiti
pintadas,painted
pintado,painted
pintados,painted
pintar,to paint
portátil,portable
portátiles,laptops
sillones,armchairs
sillón,armchair
sofá,sofa
televisor,television
televisores,televisions
