abrigo,coat
abrigos,coats
adulto,adult
adultos,Adults
animal,animal
animales,animals
bailan,they dance
bailar,to dance
bailas,you dance
bailo,I danced
calor,heat
cuántos años,how many years
de verdad,for real
frío,cold
ganas,desire
gris,grey
grises,gray
hambre,hungry
jugos,juices
jóvenes,youths
larga,long
largas,long
largo,long
largos,long
marrones,browns
marrón,Brown
miedo,fear
pizza,Pizza
pizzas,pizza
puesto,Market Stall
sed,thirst
señoritas,ladies
sueño,sleep
veinticinco,twenty-five
veinticuatro,twenty four
veintidós,twenty two
veintitrés,twenty three
veintiuno,twenty one
veintiún,twenty one
