a mí,to me
a nosotros,us
a ti,to you
a usted,to you
a ustedes,to you
a él,to the
aquel,that
aquella,that
aquellas,those
aquellos,those
caballo,horse
caballos,horses
camina,walk
caminan,they walk
caminas,you walk
camino,path
corre,run
corremos,we run
corren,they run
corres,you run
corro,I run
disfrutan,enjoy
disfrutar,to enjoy
disfrutas,you enjoy
disfruto,I enjoy
les encanta,they love
les gusta,they like
montan,they ride
montar,mount
montas,you ride
normalmente,usually
para ella,for her
para nosotros,for us
para
                    él,for him
pasa,happens
pasan,pass
pasar,happen
pasas,raisins
paso,He passed
regalo,present
río,river
ríos,rivers
tenis,tennis
tiempo,weather
