canciones,songs
canción,song
canta,sings
cantamos,we sang
cantan,they sing
cantar,sing
cantas,do you sing
canto,singing
carnes,meats
china,China
chino,Chinese
cocina,kitchen
cocinamos,we cook
cocinan,they cook
cocinar,cook
cocinas,kitchens
cocino,I cook
cómo se dice,How do you say
cómo se
                    escribe,how is this written
edad,age
lengua,language
lenguas,languages
maneja,drive
manejamos,we drive
manejan,drive
manejar,handle
manejas,do you drive
manejo,driving
misma,same
mismas,same
mismo,same
mismos,themselves
nada,any
nadan,they swim
nadas,you swim
nado,I swim
no lo sé,I do not know
palabra,word
palabras,words
respuesta,reply
respuestas,answers
sabe,knows
sabe usted,do you know
sabemos,we know
sabemos dónde,we know where
saben,they know
saber,know
sabes,do you know
sabes cuándo,you know when
sabes nadar,you know how to swim
sabes quién,do you know who
sé,HE
sé cuándo,I know when
