arte,art
artes,Arts
asignatura,course
asignaturas,subjects
conversaciones,conversations
conversación,conversation
cuáles,which
dibujamos,we draw
dibujan,they draw
dibujas,you draw
esto,this
europea,european
europeas,European
europeo,European
europeos,europeans
fiestas,parties
foto,Photo
fotos,Photos
grupo,cluster
importantes,important
interesa jugar,interested in playing
juega,play
juegan,they play
juegas,you play
juego,play
jugamos,let&#39;s play
le interesa,you are interested
les interesa,they are interested
me interesa,I&#39;m interested
museo,museum
museos,museums
nos
                    interesa,we are interested
otras,others
otros,others
partidos,matches
pintura,paint
pinturas,paintings
practicar,to practice
preferida,preferred
preferido,favorite
radio,radio
te
                    interesa,are you interested
viajas,you travel
