abres la,you open the
acá,here
allá,there
caja,box
cajas,boxes
cierro la,I close the
coges,you take
cuartos,rooms
césped,grass
demasiada,too much
demasiadas,too many
demasiado,too
demasiados,too many
eso,that
granja,farm
levántate,Get up
levántese,stand up
lávate,wash yourself
lávese,wash
mirando,looking
miro,I look
nos ayudas,you help us
pared,wall
paredes,walls
piso,floor
pisos,floors
poca,little
pocas,few
poco,little bit
pocos,few
seguras,safe
seguro,sure
seguros,insurance
sentarse,feel
siéntate,Sit down
siéntese,sit down
toda,all
todo,all
traes,you bring
traigo,I bring
