abras,open
bebas,drink
cafetería,coffee shop
comas,commas
compres,buy
contaminada,polluted
contaminado,contaminated
currículum,resume
embajada,embassy
entrevista,interview
floreros,vases
fuente,fountain
fuentes,sources
hables,talk
huracanes,hurricanes
huracán,hurricane
lleves,take
lluvias,rainy
presentación,presentation
rosas,roses
subas,go up
temporada,season
temporadas,seasons
viajes,travels
visa,visa
visites,visit
aspiradora,Vacuum cleaner
congelador,freezer
escalera,ladder
grifo,tap
lavavajillas,dishwasher
me la,me the
me lo,I got it
me los,me them
se lo,I know
te lo,you
adicional,additional
adicionales,additional
aire acondicionado,air conditioner
alfombra,carpet
alfombras,carpets
bien,good
botón,button
calefacción,heating
cantidad,amount
clásicas,classic
clásico,classic
clásicos,classics
cobrar,collect
cobraron,charged
comedor,dining room
deben,must
debo,I shall
electrodomésticos,home appliances
entonces,then
estilo,style
estilos,styles
forma,form
formas,shapes
material,material
mediana,median
medianas,medians
mediano,medium
medianos,medium
mesa de noche,nightstand
mesas de noche,Night tables
objeto,object
objetos,objects
por ciento,percent
renovaste,you renewed
secciones,sections
sección,section
abogada,a lawyer
abogadas,lawyers
abogado,attorney
abogados,lawyers
asistente,attendee
beneficio,benefit
beneficios,Benefits
búsqueda,search
búsquedas,searches
calculadora,calculator
calculadoras,calculators
contabilidad,accounting
copia,copy
copias,do you copy
dedicado,dedicated
dedicarse,dedicate
desorganizada,disorganized
desorganizadas,disorganized
desorganizados,disorganized
empleada,employee
empleadas,employees
empleado,employee
empleados,staff
exporta,export
firma,signature
ley,law
leyes,laws
me dedico,I dedicate myself
nos dedicamos,Our services are
producción,production
producto,product
productos,products
profesional,professional
profesionales,professionals
profesiones,Professions
profesión,profession
quien,who
rol,role
roles,roles
se dedica,is dedicated
tercios,thirds
valor,worth
valores,values
algodón,cotton
apretadas,tight
apretados,tight
caja registradora,cash register
cajero automático,ATM
cajeros automáticos,ATMs
calidad,quality
calidades,qualities
centro comercial,mall
centros comerciales,malls
de,from
de talla única,one size fits all
diseño,design
falta,lack
faltan,missing
fea,ugly
feas,ugly
feo,ugly
feos,ugly
gorro,hat
gorros,caps
importa,matter
importamos,we matter
importan,matter
importar,to import
importo,I import
informal,informal
informales,informal
llevan,They carry
llevar,wear
llevas,you carry
llevo,he took
original,original
originales,original
por,for
ropa interior,underwear
sudadera,hoodie
sudaderas,sweatshirts
tamaño,size
tamaños,sizes
total,total
commands21,commands21
commands22,commands22
commands23,commands23
commands,commands
commands31,commands31
commands32,commands32
commands33,commands33
atún,tuna
batir,shake
cereza,cherry
compra,purchase
durazno,peach
duraznos,peaches
especias,spices
fresa,strawberry
fresas,strawberries
freír,fry
helado,ice cream
ingrediente,ingredient
ingredientes,ingredients
lechuga,lettuce
libra,pound
libras,pounds
mayonesa,Mayonnaise
maíz,corn
meriendas,snacks
mezcla,mixture
microondas,microwave oven
mostaza,mustard
receta,recipe
sabor,taste
sabores,flavors
vainilla,vanilla
vinagre,vinegar
a,a
activas,active
activo,active
activos,active
al,to the
al mismo tiempo,at the same time
basura,trash
cepillabas,you brushed
despertador,alarm clock
divertirme,have fun
divertirte,have fun
ducharse,get a shower
gemela,twin
gemelo,twin
lavarme,wash myself
lavarse,wash up
lavarte,wash yourself
me maquillo,I put on make up
me preocupaba,it worried me
menos que,less than
más que,more than
nos cepillábamos,we brushed
nos divertimos,we had fun
nos levantábamos,we got up
nos relajamos,we relax
ojo,eye
relajarse,relax
rutina,routine
sacarla,take it out
sacas,you take out
se cepillaban,they brushed
se divierte,have fun
se levantaban,they got up
se preocupaba,He cared
se preocupaban,they cared
tanto como,as much as
te diviertes,do you have fun
te maquillas,do you make up
tiempo libre,leisure
antibiótico,antibiotic
antibióticos,antibiotics
análisis de sangre,blood test
así,So
bastante,pretty
bastantes,quite a few
clínica,clinic
clínicas,clinics
codo,elbow
codos,elbows
dieta,diet
dietas,subsistence allowance
doctor,doctor
doctora,doctor
doctoras,female doctors
doctores,doctors
estrés,stress
evitar,to avoid
farmacia,pharmacy
farmacias,pharmacy
lo,it
mareada,dizzy
mareado,dizzy
mayor,higher
me enfermo,I get sick
me quemo,I'm burning
