al conducir,when driving
al cruzar,to cross
al entrar,to enter
al escuchar,when listening
al llegar,arriving
al regresar,when returning
al salir,Upon leaving
al ver,seeing
bajarse,Get down
bajarte,get off
cómo puedo ir,How can I go
funcionan,do they work
funcionar,function
me bajo,I get off
me caigo,I fall down
me puede cambiar,can you change me
me río,I laugh
nos bajamos,we down
nos caemos,we fall
nos reímos,we laugh
pedir,ask for
pediré,I will ask
pediste,you asked
pedí,I asked
pidieron,they asked
pidió,asked
se bajan,they get off
se cae,it falls
se caen,they fall
se ríe,Serie
se ríen,They laugh
sonar,Dream
suena,dream
te caes,you fall
te ríes,you laugh
