caer,fall out
campo,countryside
costa,coast
costas,coasts
des,des
desconocida,unknown
desconocido,a stranger
despertar,wake
digas,you say
exploras,you explore
frágil,fragile
frágiles,fragile
galería,Gallery
grupo,cluster
hagas,you do
local,local
locales,local
oficina de correos,post Office
polvo,dust
polvos,powder
pongas,put
regiones,regions
región,region
salgas,come out
sentir,to feel
suelo,I usually
taxista,cabbie
taxistas,taxi drivers
tengas,have
terremoto,earthquake
terremotos,earthquakes
tigre,tiger
vayas,go
vengas,come on
