ayuntamiento,town hall
centro,center
colonia,Suburb
colonias,colonies
continente,continent
continentes,continents
criar,breed
cárcel,jail
de,from
desde,since
estrecho,narrow
hacienda,tax authorities
hogar,home
hogares,homes
instituciones,institutions
institución,institution
instituto,Institute
nación,nation
oestes,wests
palacio,palace
parecer,seem
pasado,last
pasear,sightseeing
patria,homeland
pista,clue
pistas,tracks
puerto,port
terreno,ground
territorio,territory
torre,tower
torres,towers
venir,to come
