gusta,like
compráis,"(?) do you buy, buy, (?) are you buying"
duda,"certainly, definitely, surely"
llena,"full, (you) fill out, crowded"
salvo,"(I) save, safe, (I) cover"
pedís,"(?) are you asking for, (you) ask for"
regresáis,"return, (?) do you return"
preguntáis,"ask, (you) ask, (?) can you ask"
continúa,"(he/she/it) continues, (you-formal) continue, continue!"
posee,"(he/she/it) owns, own!, (you-formal) own"
mezcla,"(he) mixes, (you) mix"
ganáis,"win, earn, (?) do you earn"
para,"for, to, (he) stops"
permite,"allow, (he/she/it) allows, (he/she/it) permits"
recibís,"(you) receive, receive, (?) do you receive"
vivís,"live, lived, (?) do you live"
añadís,"(you) add, add, (?) do you add"
considera,"consider, thinks, consider!"
utiliza,"used, (he/she/it) utilizes, utilize!"
vale,"(he/she/it) is worth, (to) be worth, (he/she/it) OK'S"
contiene,"(he/she/it) contains, (he/she/it) contains oneself, (he/she/it) holds"
gastáis,"(you) spend, spend"
reconoce,"recognize!, (you-formal) recognize, (you-formal) acknowledge"
interesa,"(they) are interested, interest"
entiende,"(?) do you understand, (he) understands, understand"
derrota,"defeat!, beat, (you-formal) defeat"
cuesta,"(?) does it cost, (it) costs, (it) is"
ocupa,"deals, (he/she/it) takes up, take up!"
cortáis,"cut, (you) cut"
rechazo,"(I) reject, rejection, (I) repel"
deja,"(she) lets, (you) put down, (you) stop"
afecta,"affect!, (he/she/it) affects, (you-formal) affect"
mejorar,"(to) improve, (to) get better"
desea,"want, (he/she/it) desires, (he/she/it) wants"
alcanza,"catch, (he/she/it) reaches, catch up with!"
observa,"(he/she/it) observes, (he/she/it) remarks, (he/she/it) abides by"
consulta,"consultation, consult, (he/she/it) consults"
voláis,"fly, (you) fly, (?) do you fly"
pierde,(he) loses
creo,"(I) think, (I) believe, (?) do I create"
intento,"attempt, (I) try to, aim"
reserváis,"book, (?) can you book, (you) book"
expresa,"(he/she/it) expresses, express!, (he/she/it) expresses oneself"
ponéis,"(?) do you put, (you) put"
tratáis,"(you) try, (?) do you try"
usáis,"(?) do you use, use"
termináis,"finish, (you) finish, (?) do you finish"
creéis,"believe, (you) believe, (?) do you believe"
pertenece,"(?) does it belong, (it) belongs, belong"
anda,"(he/she/it) walks, (he/she/it) works, (he/she/it) is"
levanta,(you) pick up
necesitáis,"(?) do you need, (you) need"
descansa,"(he/she/it) rests, (he/she/it) rests / hinge on something, rest / hinge on something!"
esperáis,"(?) do you wait, (you) wait"
cae,"(he/she/it)  lets drop / fall, (he/she/it)  hangs, (he/she/it)  falls"
ofrece,(he) offers
tiro,"throw, kick, (I) throw"
giráis,"turn, (you) turn"
cura,"cure!, (you-formal) cure, bandage"
secan,"dry, (?) do you dry"
saltar,"(to) jump, (to) jump over, (to) circumvent"
odiáis,"(?) do you hate, hate"
