viajes,"travels, trips, (you) travel"
temporadas,"seasons, runs"
temporada,"season, run, running"
huracán,hurricane
huracanes,hurricane
compres,"buy, (you) buy, (you) get"
lluvias,"hails, rains, showers"
comas,"eat, (you) eat, comas"
cafetería,"cafeteria, cafe, café"
fuentes,"sources, fountains, fonts"
fuente,"fountain, source, spring"
bebas,"drink, (you) drink, babies"
contaminada,polluted
abras,"(you) split, (you) take out, (you) make"
buzón,"letter box, postbox, go-between"
subas,(you) get on
florero,"flowers, Flores, flower"
floreros,florist
rosa,"pink, rosa"
rosas,"rose, pink, roses"
visites,"visitor, visit, visiting"
visa,"tack!, (he/she/it) turns, put … about!"
documento de identidad,identification document
embajada,ambassador
lleves,"(you) carry, (you) take, (you) lead"
presentaciones,presentations
presentación,"presentation, performance, introduction"
currículum,résumé
hables,"(you) call, (you) court, (you) phone"
entrevista,"interview!, (you-formal) interview, begun to see"
salario,"salary, wage"
congelador,freezer
me lo,me it
me la,me it
me los,me them
me las,me them
lavavajillas,dishwasher
escalera,"ladder, stepladder, run"
escaleras,stairs
te lo,you
te las,you
te la,cloth
se lo,I know
se los,I know them
se la,I know it
se las,I know them
aspiradora,vacuum cleaner
grifos,grasosa
grifo,faucet
quitaré,(he) will take off
quitar,(he) will take off
quitaron,(to) take off
quitaste,"(they/you-plural) come out, (they/you-plural) go, (they/you-plural) go away"
hacer la cama,make the bed
mancha,March
manchas,stains
sábana,"sheet, bedsheet"
sábanas,"sheets, bedsheets"
se,"you, are, each other"
pasas,"(you) spend, (?) are you spending, (?) can you pass"
pasamos,"spend, (we) spent, (we) are spending"
pasé,"(I) spent, (I) passed, (I) had"
pase,"pass (on)!, happen!, go through!"
pasaron,(they) passed
pasaban,"play, show, spend"
pasar,"(to) pass, (to) spend, happen"
pasa,"(he) is spending, happens"
pasando,"happening, going on, having"
pasaba,"(I/he/she/it/you) used to pass (on), (I/he/she/it/you) used to spend, (I/he/she/it/you) used to happen"
pasado,"last, past, given"
pasan,(they) are spending
pasó,"happened, (?) did it happen, (he) had"
pasábamos,"(we) passed (on), (we) happened, (we) used to happen"
paso,"step, (I) spend, (I) am spending"
planchaba,ironed
planchar,plan
plancharía,ironing
nos la,us it
nos lo,U.S
nos las,us them
tareas domésticas,housework
barrí,neighborhood
barre,"drives, drive"
barría,drove
barrer,"drove, drives, drive"
desordenada,messy
desordenado,untidy
ordenando,"asked for, tidy"
ordenaba,"clear, arrange, order"
ordenaría,"clear, arrange, order"
ordenar,"clear, arrange, order"
ordenas,"order, command"
ordenabas,you ordered
reciclan,we recycle
reciclaba,we recycle
reciclando,recycling
reciclar,"recycle, to recycle"
comedor,"halle, dining room"
comedores,"halle, dining room"
alfombras,carpets
alfombra,carpet
mediana,"average, medium, mediocre"
medianos,"average, medium, mediocre"
mediano,"average, medium, mediocre"
medianas,"average, medium, mediocre"
formas,"ways, (you) form, (you) are educated"
forma,"fit, shape"
mesa de noche,nightstand
mesas de noche,Night tables
aire acondicionado,air conditioning
adicionales,additional
adicional,"extra, spare, add"
botón,"button, badge, bud"
estilos,"strokes, styles, classes"
estilo,"style, kind, (I) drain"
por ciento,percent
electrodoméstico,"electrical, Appliances, electrical appliance"
electrodomésticos,"electrical, electrical appliance"
sección,"section, department"
secciones,"sections, (you) cut off, (you) section"
calefacción,"heat, heating"
entrega,"delivery, (he/she/it) delivers, (he/she/it) gives"
renovaste,you renewed
renovar,"take, resume"
renové,recover
debió,(he) should have
debe,"(he) has to, (he) must, (he) should"
debes,"(you) must, (you) have to, (you) need"
deber,"duty, assignment, (to) owe"
debía,"ought to, should"
deben,"(they) must, (you) should"
deberá,(you) will have
debo,"(I) must, (I) should, (I) have to"
por,"for, in, by"
objetos,objects
objeto,"object, (I) object"
raros,"odds, strange, rare"
rara,"unusual, funny, odd"
cantidad,"amount, quantity, length"
material,"material, actual, feed"
cobraron,scored
cobró,"(I/he/she/it/you) give, carry off!, award!"
cobrar,"courage, bravery"
entonces,"then, so"
bien,"well, good, fine"
clásicos,"classic, classical, standard"
clásica,"classical, classic, standard"
clásicas,"classic, classical, standard"
clásico,"classic, classical, standard"
calculadoras,calculators
calculadora,"calculator, calculating"
copia,"copy, copying"
copias,copies
profesión,"profession, calling, career"
contabilidad,accounting
se dedican,they dedicate
me dedico,I dedicate myself
nos dedicamos,Our services are
se dedica,is dedicated
dedicado,dedicated
firma,"(he/she/it) signs, signature, firm"
firmas,"(you) sign, (you) sign on, (you) register as unemployed"
búsqueda,search
datos,"facts, data, information"
dato,"facts, information, (I) date"
empleados,"employees, bank clerk, clerks"
empleada,worker
empleado,"employee, bank clerk, clerk"
empleadas,"employees, bank clerk, clerks"
roles,"paper, role"
rol,"paper, role"
quien,"who, whom, whoever"
ley,"law, acted, assay value"
leyes,"laws, assay value"
asistente,flight attendant
asistentes,flight attendant
desorganizadas,disorganized
desorganizado,disorganized
desorganizada,disorganized
desorganizados,disorganized
abogado,"(a) lawyer, (a) solicitor, (an) attorney"
abogadas,"lawyers, attorneys, solicitors"
abogada,"lawyer, attorney, barrister"
abogados,"lawyers, attorneys"
productos,"products, results"
producto,"product, result"
