tuve,"(I) had, have"
dije,"(I) said, (I) told"
traje,"suit, (I) brought"
recuerdo,"(I) remember, memory"
recuerdos,memories
primos,cousins
prima,cousin
primas,cousins
primo,cousin
compañera de cuarto,roommate
compañeros de cuarto,roommates
compañero de cuarto,roommate
compañeras de cuarto,roommates
hace,"ago, (?) are you making, (?) does he do"
tuviste,"(you) had, (?) did you have"
dijiste,"(you) said, (?) did you say, (?) did you tell"
trajiste,"(you) brought, (?) did you bring, get"
cuentos,"stories, tales"
cuento,"(I) tell, story"
aventuras,"adventures, adventure"
aventura,adventure
campamento,"camp, camping"
campamentos,"camps, camping"
momentos,moments
momento,"moment, time"
tuvo,"(?) did she have, (?) did you have, (he) had"
dijo,"(?) did he say, (?) did she say, (he) said"
trajo,"(?) did you bring, (he) brought, (she) brought"
abuelito,grandpa
compañero de clase,classmate
compañeros de clase,classmates
compañeras de clase,classmates
recibir,"(to) receive, (to) get, take"
álbumes,albums
álbum,album
llevé,"(I) took, (I) drove, (I) wore"
llevaste,"(you) took, (?) did you take, (you) wore"
llevamos,"(we) took, (we) are carrying"
llevó,"(?) has he packed, (he) carried, (he) took"
llevaron,"(?) did you take, take, (they) carried"
diploma,"diploma, degree, certificate"
recibieron,"(?) did you receive, (they) got"
recibió,"(he) got, (he) received, (she) got"
reciben,"(they) get, (they) received"
recibimos,"(we) get, (we) got, (we) receive"
recibí,"(I) received, (I) got"
recibo,"receipt, (I) get, (I) receive"
recibes,(you) receive
recibiste,"(?) did you get, (?) did you receive, (you) got"
recibe,"(he) gets, (he) receives, (she) receives"
notas,grades
nota,"note, grade"
nos acordamos,"(we) remembered, remember, (we) remember"
me acordé,"(I) didn't remember, (I)  remembered"
se acordaron,they remembered
te acordaste,"(you)  remembered, (?) did you remember"
se acordó,(?) did you remember
premio,prize
premios,"awards, prizes"
juego de mesa,board game
juegos de mesa,board games
