pintar,"painting, (to) paint"
apagar,"(to) turn off, turn"
lámparas,lamps
lámpara,lamp
cafetera,coffee maker
luces,lights
luz,light
muebles,furniture
portátil,laptop
portátiles,laptops
pintados,painted
pintada,painted
pintadas,painted
pintado,painted
apagados,off
apagadas,off
apagada,turned off
apagado,off
televisores,televisions
televisor,"television, TV, television set"
estufas,stoves
estufa,stove
apaga,"(she) turns off, (you) turn off"
apagas,(you) turn off
apagaste,"(?) did you turn off, (you) turned off"
apagaron,"(they) turned off, turn off"
apago,(I) turn off
apagó,(he) turned off
alfombras,carpets
alfombra,carpet
cómodas,"comfortable, dressers"
cómoda,"comfortable, dresser"
perder,"(to) lose, (to) miss, failed"
dormir,"(to) sleep, sleeping"
encender,(to) turn on
lavadora,washing machine
lavadoras,washing machines
sillón,armchair
sillones,armchairs
espejo,mirror
espejos,"models, mirrors"
creo que deberías,I think you should
dormidas,asleep
dormida,asleep
dormidos,asleep
dormido,"fallen asleep, slept, asleep"
perdidos,"lost, missing"
perdidas,"lost, missing"
perdida,"lost, missing"
perdido,"lost, missing"
encendidas,on
encendidos,on
encendida,"turned on, on"
encendido,"turned on, on, open"
encendemos,(we) turn on
sofá,"sofa, couch"
sofás,"settee, sofas, couches"
encendieron,"start, (they) turned on"
encendí,(I) turned on
encendiste,"start, (?) did you turn on"
encendió,"(he) turned on, (?) did he turn on"
enciende,(you) turn on
enciendo,(I) turn on
creo que debería,I think I should
