los gatos,the cats
los perros,dogs
conejos,rabbits
conejo,rabbit
elefante,elephant
elefantes,elephants
peligroso,dangerous
peligrosas,dangerous
peligrosos,dangerous
peligrosa,dangerous
fuerte,"strong, bad, hard"
fuertes,strong
rápido,"fast, quickly, quick"
útiles,"useful, helpful"
útil,useful
las frutas,the fruits
los padres,parents
verduras,"vegetables, vegetable"
los médicos,the doctors
los lunes,on Monday
domingo,Sunday
domingos,"Sundays, Sunday"
el ciclismo,cycling
los deportes,sports
el fútbol,football
el baloncesto,basketball
el ajedrez,the chess
gramática,grammar
pesada,heavy
pesados,heavy
pesadas,heavy
pesado,heavy
los maestros,teachers
agricultores,farmers
dinosaurios,dinosaurs
dinosaurio,dinosaur
osos,bears
oso,bear
el inglés,English
el español,the Spanish
insectos,insects
insecto,insect
