doler,"(to) hurt, hurt, hurts"
cuello,neck
espalda,back
espaldas,"take on, backs, to shoulder"
mover,(to) move
estómago,stomach
estómagos,stomachs
dedos,fingers
dedo,finger
citas,"appointments, dates"
cita,"appointment, date"
dolor,"pain, hurt"
dra.,Dr.
dr.,Dr.
descansar,"resting, (to) rest"
se cepilló,brushed
se cepillaron,they brushed
me cepillé,i brushed
nos cepillamos,"(we) are brushing, (we) brush"
te cepillaste,you brushed
jabón,soap
jabones,soaps
hay que,one must
enfermeros,nurses
enfermeras,nurses
enfermera,nurse
enfermero,nurse
duele,"hurt, (?) does it hurt, (it) hurts"
cuidar,"(to) look after, (to) take care, (to) take care of"
salud,health
ejercicios,exercises
ejercicio,exercise
deberías,(you) should
pálidos,pale
pálido,pale
pálida,pale
descansamos,(we) rest
descansas,(you) rest
descansa,"(he/she/it) rests, (he/she/it) rests / hinge on something, rest / hinge on something!"
descanso,"break, rest"
descansaste,(?) did you rest
descansó,(he) rested
descansan,"(I) used to rest, (he) was resting, (he) used to rest"
descansaron,(?) did they rest
duelen,"(?) do they hurt, (they) hurt"
debería,"(I) should, (she) should, (you) should"
cigarrillo,"cigarette, smoke"
cigarrillos,"cigarette, cigarettes"
dentistas,dentist
dentista,dentist
accidentes,"unevenness, coincidences, accidents"
accidente,accident
actividades,activities
actividad,activity
cuidan,"(they) look after, watch, (they) take care"
cuidas,(?) do you take care of
cuidó,(?)did she look after you
cuido,"(I) take care of, (I) look after"
cuida,"(he) takes care, (you) look after"
