labios,"lips, labia"
oído,"heard, ear"
pecho,"chest, (I) shove, (I) jostle"
piel,"skin, fur, leather"
frente,"front, brow, facade"
duele,"hurt, (?) does it hurt, (it) hurts"
rodillas,knees
codo,"elbow, elbow;, tightfisted"
hombro,shoulder
saludes,health
tratamiento,treatment
ambulancia,ambulance
emergencia,emergency
enfermedad,"illness, disease"
riesgos,risks
operación,"operation, transaction"
paciente,"patient, passive"
condición,"condition, class, conditions"
presión,"pressure, blood pressure"
síntomas,"symptoms, indications, signs"
diagnóstico,"diagnosis, diagnostic"
dosis,"dose, doses, dosage"
depresión,"depression, depressions"
virus,"virus, viruses"
órgano,"organ, member"
clínica,"clinic, private hospital / clinic, clinical"
lágrimas,"tears, teardrop, teardrops"
dieta,"diet, allowance, assembly"
emoción,"emotion, excitement"
remedio,"medicine, (I) remedy, (I) repair"
proteínas,proteins
circulación,"circulation, movement, traffic"
cadáver,"corpse, (dead) body, carcass"
mente,mind
olor,"smell, odor"
sabor,"flavor, taste"
ayudas,"(you) help, (?) do you help"
grave,"bad, serious"
