Word,Translations
se habla,is spoken
se usa,"(you)  use, (he/she/it)  uses, (he/she/it)  wears"
escaleras,stairs
norte,north
andén,platform
turismo,tourism
cuadra,block
se hacen,"(they/you-plural)  do, (they/you-plural)  make, (they/you-plural)  write out"
se necesitan,are needed
cuero,leather
significar,"(to) make clear, (to) draw attention to oneself, (to) signify"
plástico,plastic
toalla,"towel, toweling"
ferrocarril,"train, railroad"
subir+se,up
ancho,"wide, proud, broad"
entrada,"entrance, ticket, gate"
esquina,corner
me pierdo,I get lost
se vende,"is sold, for sale, sold"
se ofrecen,are offered
paro,"stop, (I) stand, (I) stop"
se dice,"say, It is said"
me subo,I get on
retraso,delay
sur,south
se cree,it is believed
perder+se,"(I) will lose, (I) will miss, (I) will fail"
