Word,Translations
café,"cafeteria, cafe, café"
banana,"banana"
quiero,"(I) want, (I) love, I'll have"
quieres,"(you) want, (?) do you want, (you) love"
quiere,"(?) do you want, (?) does he want, (?) does she want"
más,"more, most, above"
té,"tea"
carro,"car"
taxi,"taxi"
ayuda,"help, (he) helps, (he) is helping"
dinero,"money"
necesito,"(I) need, (?) do I need"
necesitas,"(you) need, (?) do you need"
necesita,"(?) do you need, (?) does he need, (?) does she need"
teléfono,"phone, telephone, telephone number"
uso,"(I) use, (I) wear, (I) am wearing"
computadora,"computer"
usas,"(you) use, (you) wear, (?) are you using"
usa,"(?) are you using, (?) does he wear, (he) is using"
bolígrafo,"pen"
usar,"(to) use, wear, (to) wear"
tengo,"(I) have, (?) do I, (I) am"
tienes,"(you) have, (?) are you, (?) do you have"
pasaporte,"passport"
boleto,"ticket"
maleta,"suitcase, bag, bags"
tiene,"have, (?) are you, (?) do you have"
cartera,"wallet, purse, bag"
