ayudo a,helped
aprendiendo a,learning to
salir a,go to
enseña a,teach to
empezamos a,we start to
cenar,"dinner, (to) eat dinner, (to) have dinner"
volar,"(to) fly, fly, flying"
desayunar,"(to) eat breakfast, (to) have breakfast"
recordar,"remember, (to) remember, remembering"
papel,"paper, role"
encontrar,(to) find
entrada,"entrance, ticket, gate"
taza,"cup, mug, bowl"
librería,"bookstore, bookshop, library"
levantarme,"(to) get up, getting up"
ducharte,"shower, (to) shower"
lavarnos,"wash, (to) wash"
levantarte,(you) get up
oreja,ear
pie,pie
probarse,(to) try on
ponerme,"put, (to) put on, (to) wear"
probarte,(to) try on
quedarnos,"stay, (to) stay, staying"
ponerte,"put, (to) put on, putting on"
quedarme,(to) stay
aldea,"village, town"
esperar,"(to) wait, (to) hope, wait"
