Word,Translations
tuve,"(I) had, have"
dije,"(I) said, (I) told"
traje,"suit, (I) brought"
recuerdo,"(I) remember, memory"
primos,"cousins"
compañero de cuarto,"roommate"
hace,"ago, (?) are you making, (?) does he do"
tuviste,"(you) had, (?) did you have"
dijiste,"(you) said, (?) did you say, (?) did you tell"
trajiste,"(you) brought, (?) did you bring, get"
cuento,"(I) tell, story"
aventura,"adventure"
campamento,"camp, camping"
momento,"moment, time"
tuvo,"(?) did she have, (?) did you have, (he) had"
dijo,"(?) did he say, (?) did she say, (he) said"
trajo,"(?) did you bring, (he) brought, (she) brought"
abuelito,"grandpa"
compañero de clase,"classmate"
recibir,"(to) receive, (to) get, take"
álbum,"album"
llevó,"(?) has he packed, (he) carried, (he) took"
diploma,"diploma, degree, certificate"
recibe,"(he) gets, (he) receives, (she) receives"
nota,"note, grade"
me acordé,"(I) didn't remember, (I)  remembered"
premio,"prize"
juego de mesa,"board game"
