camarero,waiter
mesa,table
quisiera,(I) would like
pescado,fish
frijol,"food, bean"
cerveza,beer
menú,menu
puede traer,(?) can you bring
cuchara,spoon
cuchillo,knife
tenedor,fork
sal,salt
plato,"plate, dish"
vaso,glass
un plato,a dish
sin,"without, with no"
bebida,drink
blanca,"white, Blanca"
tinto,red
otro,"another, other, another one"
botella,bottle
pagar,"pay, (to) pay, (to) pay for"
cuenta,"check, bill, account"
sopa,soup
patata,potato
frito,fried
pago,"(I) pay, (I) pay for, (I) am paying for"
postre,dessert
