Word,Translations
he,"(I) have, I've"
has,"(you) have, you've"
trabajado,worked
estado,"been, state"
estudiado,studied
antes,"before, previously, by"
bastante,"pretty, quite, quite a lot"
ha,"(he) has, (it) has, (she) has"
comido,"eaten, had"
aprendido,"learned, learns, learned/learnt"
todavía,"still, yet, even"
obrero,worker
peligro,"danger, (I) am at risk, peril"
robar,(to) steal
hemos,"(we) have, we've"
han,"(she) has, (they) have, they've"
ido,"gone, been to, been"
vivido,lived
recibido,"received, got"
policía,"police, police officer, policeman"
salvaje,"wild, animal, brutal"
fuego,fire
robado,stolen
terrible,"terrible, horrible"
llegado,"arrived, come, gotten"
extraño,"(I) miss, strange"
electricidad,"electricity, electric"
nacional,"national, domestic, home"
