con calma,calmly
personalidad,personality
personalidades,personality
pacientes,"patients, passive, patient"
paciente,"patient, passive"
tímida,"shy, timid"
tímidas,"shy, timid"
tímido,"shy, timid"
se sentía,it felt
se sentían,they felt
nos sentíamos,we felt
te sentías,you felt
me sentía,I felt
pareja,"couple, partner"
parejas,"Couples, couple, evens"
confiar,give
confiaba,"faith, confidence, reliable"
confiaban,"used to count, told"
confiábamos,we trusted
nadie,"nobody, no one, anybody"
alguien,"someone, somebody, anyone"
todos,"all, all of, every"
amistades,"friendship, friendships, friends"
amistad,"friendship, friends"
jubilados,jubilarse
jubilado,jubilarnos
jubilada,jubilarse
jubiladas,jubilarse
hija única,only daughter
hijas únicas,only daughters
hijos únicos,only children
hijo único,only son
egoísta,selfish
egoístas,selfish
eficiente,efficient
eficientes,efficient
lesbiana,lesbian
lesbianas,lesbians
gais,raise
gay,(you) win
viudos,widow
viuda,widow
viudo,"a widower, widower"
paciencia,patience
divorciada,divorced
divorciado,divorced
divorciados,divorced
seria,"serious, (he/she/it) serializes, (he/she/it/you) mass-produce"
serias,"serious, (you) order / arrange in series, (you) serialize"
serio,"serious, (I) serialize, (I) mass-produce"
generosas,"biggest, rich, richer"
generoso,"biggest, rich, richer"
generosa,"biggest, rich, richer"
generosos,"biggest, rich, richer"
reservadas,"they'll reserve, book, hold"
reservado,"book, (?) can you book, (you) book"
reservada,"book, (?) can you book, (you) book"
reservados,"(?) did you reserve, reserved, reserve"
antipática,unpleasant
antipáticos,unpleasant
antipático,unpleasant
antipáticas,unpleasant
cruel,cruel
crueles,cruel
