Word,Translations
pintar,"painting, (to) paint"
apagar,"(to) turn off, turn"
lámpara,"lamp"
cafetera,"coffee maker"
luz,"light"
muebles,"furniture"
portátil,"laptop"
pintado,"painted"
apagado,"off"
televisor,"television, TV, television set"
estufa,"stove"
alfombra,"carpet"
cómoda,"comfortable, dresser"
perder,"(to) lose, (to) miss, failed"
dormir,"(to) sleep, sleeping"
encender,"(to) turn on"
lavadora,"washing machine"
sillón,"armchair"
espejo,"mirror"
creo que deberías,"I think you should"
dormido,"fallen asleep, slept, asleep"
perdido,"lost, missing"
encendido,"turned on, on, open"
encendemos,"(we) turn on"
sofá,"sofa, couch"
creo que debería,"I think I should"
