Word,Translations
nos ayudas,(?) can you help us
coges,"you're taking, (you) take, (?) can you take"
abres la,you open the
demasiado,"too, too much, a bit too"
traes,"(?) can you bring, (you) bring"
caja,box
eso,"it, that"
granja,farm
pared,wall
piso,"floor, ground"
traigo,"(?) should I bring, (I) bring, bringing"
césped,"lawn, grass"
cierro la,I close the
seguro,"sure, safe"
levántate,(you) get up
levántese,(you) get up
sentarse,"sat, (to) sit, (to) sit down"
ducha,shower
cuartos,"rooms, bedrooms"
todo,"everything, all, whole"
pocos,few
lávate,"wash, (you) wash, (you) wash up"
miramos,"look, (we) watched, (we) are looking"
siéntate,"(you) sit, (you) sit down"
siéntese,(you) sit down
acá,here
allá,"there, over there, past"
lávese,"wash, (you) wash"
