Word,Translations
termina,"(?) does it finish, (he) finishes, (it) ends"
cancelar,"pull, pays, stop"
vestir+prpers,dress
acaban de,"have just, finish"
estante,"shelf, bookshelf"
vestir,"(to) wear, wears, (to) decorate"
techo,"ceiling, roof"
recién,"just, recently, only just"
ventilador,"ventilator, air vent, fan"
garaje,garage
tortilla,"omelet, tortilla, unleavened bread"
seco,"dry, (I) dry"
sequé,"dry, (I) dried"
lavamanos,sink
hablar de,talk about
joyas,jewelry
parar+se,(to) stop
rosado,pink
cortina,curtain
bol,bowl
melón,melon
programa,"program, show, software"
práctico,"practice, handy, pilot"
vender,"sell, (to) sell, selling"
gritar,"shout, (to) shout, cry"
portón,"gate, front door, large door"
pasillo,"hall, hallway, aisle"
fregadero,sink
