Word,Translations
supe,"knew, (I) tasted, know"
pude,"(I) could"
puse,"(I) put, (?) did I put"
ocurrir,"(to) happen, (to) occur, come"
razón,"reason"
vez,"time"
siglo,"century"
supiste,"know, (you) knew, did you find out"
pudiste,"(you) were able to"
pusiste,"(?) did you put, (you) put"
ocurrió,"(it) happened, happened"
charla,"chat"
conocidos,"known, well-known, acquaintance"
más,"more, most, above"
supo,"know, (she) knew"
pudo,"(he) could"
puso,"(?) did she put, (he) put, (she) put"
decidir,"(to) decide, decide"
por fin,"finally"
preparar,"(to) prepare, (to) make, (to) coach"
área,"area, square dekameter"
decidió,"(?) did she decide, (he) decided"
principios,"principles, beginnings, starts"
miles,"thousands"
de acuerdo,"agreed, agree"
nacimiento,"birth"
colina,"hill"
prepararse,"(to) have a, (to) get ready"
