Word,Translations
compañero,"classmate, coworker"
estuche,"case, box, pencil case"
avanzado,"advanced"
detalles,"details"
claramente,"clearly"
reglas,"rules, periods, rulers"
libros de ejercicios,"workbooks"
darme,"(to) give me"
decirme,"(to) tell me"
dar,"give, (to) give, (to) have"
decir,"(to) say, (to) talk, (to) tell"
consejo,"advice"
diferencia,"difference, tell the difference between!, (you-formal) tell the difference between"
instrucción,"instruction"
darte,"give you"
decirnos,"(to) think (us), (to) say (us), (to) say to each other (us)"
te,"you, yourself"
nos,"we, us, each other"
mochila,"backpack"
explicar,"(to) explain, explain, explaining"
calendario,"calendar"
le,"him, her, his"
les,"they, you, hers"
darle,"(to) give him, give"
decirles,"(to) tell them, tell"
nivel,"level, floor"
expliqué,"(I) explained, (I) understood, explain"
explica,"(he/she/it) explains, (he/she/it) understands, (you-formal) explain"
