Word,Translations
doler,"(to) hurt, hurt, hurts"
cuello,"neck"
espalda,"back"
mover,"(to) move"
estómago,"stomach"
dedos,"fingers"
cita,"appointment, date"
dolor,"pain, hurt"
dr.,"Dr."
descansar,"resting, (to) rest"
me cepillé,"I brushed"
jabón,"soap"
hay que,"one must"
enfermero,"nurse"
duele,"hurt, (?) does it hurt, (it) hurts"
cuidar,"(to) look after, (to) take care, (to) take care of"
salud,"health"
ejercicio,"exercise"
deberías,"(you) should"
pálido,"pale"
descanso,"break, rest"
duelen,"(?) do they hurt, (they) hurt"
debería,"(I) should, (she) should, (you) should"
cigarrillo,"cigarette, smoke"
dentista,"dentist"
accidente,"accident"
actividades,"activities"
