Word,Translations
yo fui,"I went"
tú fuiste,"you went"
setecientos,"seven hundred, 700"
ochocientos,"eight hundred, 800"
comprender,"(to) understand, understand"
morir,"(to) die"
vivió,"(?) did he live, (he) lived, (she) lived"
nosotros fuimos,"we went"
practiqué,"play, (I) played, (I) practiced"
novecientos,"nine hundred, 900"
mandar,"(to) send, send"
llegué,"(I) arrived, (I) came, (I) was"
recordamos,"(we) remember, (we) remembered"
practicó,"(he) played, (she) played, (you) played"
invitar,"(to) invite, (to) ask, invite"
esperar,"(to) wait, (to) hope, wait"
comencé,"(I) started, (I) began"
pensó,"(he) thought, (she) thought"
llegó,"(he) arrived, (he) was, (she) came"
miré,"(I) looked, (I) saw, (I) watched"
recuerdo,"(I) remember, memory"
trabajar,"(to) work, (?) does she work, working"
usar,"(to) use, wear, (to) wear"
comenzó,"(?) did it begin, (he) started, (it) started"
pintar,"painting, (to) paint"
cambiar,"(to) change, (to) exchange"
ayudar,"help, (to) help"
bailé,"(I) danced"
