llegada,"arrival, arrived, been enough"
conexión,"connections, connection, layovers"
directa,"direct, high, straight"
directos,straight
directo,straight
distancia,"distance, away"
distancias,"distances, (you) grow / drift apart, (you) space … out"
destino,"destiny, destination, (I) assign"
millas,"village, town"
dirección,"address, direction"
direcciones,"directions, addresses"
códigos postales,zip codes
código postal,Postal Code
frontera,"border, frontier"
fronteras,"border, frontier"
sabrá,"(he) will know, he'll know"
sabrás,"(you) will know, know, (you) will taste"
sabes,"(you) know, (?) do you know, (?) do you know how to"
sabían,(they) knew
supiste,"know, (you) knew, did you find out"
supe,"knew, (I) tasted, know"
sabe,"know, (?) does he know, (he) knows"
saber,"know, (to) know, hear"
sabía,"(he) knew, (she) knew"
supo,"know, (she) knew"
saben,"(?) do you know, (?) do you know how to, (they) know"
sabrán,"(they/you-plural) will taste, (they/you-plural) will know, know"
sabías,"(you) used to know, (you) tasted, (you) knew"
sabemos,"know, (we) know, (we) know how to"
supieron,"know, (they/you-plural) knew, (they/you-plural) tasted"
supimos,"(we) knew, knew, told"
sé,"(I) know, (I) know how to, (you) be"
sabré,"know, (I) will know, (I) will taste"
sabremos,"(we) will taste, know, (we) will know"
tour,tour
distrito,district
estado,"been, state"
estados,"been, state"
conociendo,"knowing, revealing, knowing of"
conocía,"(I/he/she/it/you) knew, (I/he/she/it/you) used to know, (I/he/she/it/you) knew oneself"
conocieron,"(?) did you meet, (they) met, meet"
conocen,"(?) do you know, (they) are familiar with, (they) know"
conocí,"(I) knew, knew, know"
conocido,"met, well-known, acquaintance"
conocemos,"(we) know, (we) have known, we're familiar with"
conoció,"meet, (?) did they meet, (he) knew"
conocíamos,"(we) knew oneself, (we) were recognizing, (we) were trying"
conoces,"(you) know, (?) are you familiar with, (?) do you know"
conocían,"met, knew"
conozco,"(I) know, (?) do I know, (I) am familiar with"
conoce,"(?) are you familiar with, (?) do you know, (?) does she know"
conocernos,"(to) meet (us), (to) get to know (us), (to) know oneself (us)"
conociste,"(you) met, (you) knew, (?) did you meet"
conocimos,"(we) met, (we) knew, knew"
conocer,"meet, (to) meet, (to) get to know"
hispanohablante,Spanish speaker
hispanohablantes,Spanish speakers
antiguo,old
antiguos,"ancient, old"
antigua,"old, ancient"
antiguas,old
itinerario,itinerary
agencia,"agency, (you-formal) pinch, (you-formal) swipe"
dueñas,"owner, landlord, proprietor"
dueña,"owner, proprietress"
dueños,"landlords, proprietor, owners"
dueño,"owner, landlord, proprietor"
espectaculares,spectacular
espectacular,"show, performance"
apellido,last name
típicos,typical
típico,"chop, take, kick"
típica,"chops, take, takes"
estación,"station, stations"
estaciones,stations
guiar,guitar
ruinas,"noisy, much talked-about"
