Word,Translations
nos llamamos,our names are
nos levantamos,"(we) got up, (?) are we getting up, (we) get up"
nos duchamos,"(we) are showering, we shower"
lavarse,"wash, (to) wash, (to) wash itself"
nos lavamos,we wash
me lavo,(I)  wash
mano,hand
se levantan,"(?) do you get up, (they) get up"
se duchan,"shower, (they) shower, (?) are they showering"
se lavan,"(you) wash, (they) wash themselves"
caras,expensive
cabello,hair
mío,mine
llaves,keys
nos ponemos,(we) put on
nuestro,"our, ours"
se ponen,"(they) put on, (you) put on, (you) are putting on"
nos sentimos,we feel
se sienten,"(?) do you feel, (they) feel"
tuyo,yours
suyo,"yours, his, theirs"
cepillarse,(to) brush
dientes,teeth
nos cepillamos,"(we) are brushing, (we) brush"
se cepillan,"(they) brush, (you) brush"
cepillo de dientes,"toothbrush, toothbrushes"
cepillo,"brush, hair"
me cepillo,(I) brush
