Word,Translations
punto,"point, dot, period"
medida,"measure, measurement, As"
energía,"energy, firmness"
función,"show, performance, function"
línea,line
análisis,"analysis, analyses, calculi"
materia,"matter, subject"
ciencia,science
concepto,"concept, conceit"
teoría,theory
físicas,"appearances, physique, figures"
técnicas,"techniques, coaches, engineers"
superficie,"surface, area"
tecnología,"technology, tech"
velocidad,"speed, gear"
métodos,methods
volumen,volume
elementos,"elements, crowd, crowds"
masa,"mass, earth, batter"
filosofía,philosophy
equilibrio,"balance, equilibrium"
límites,"limits, boundaries"
fórmula,"formula, prescription, recipe"
promedio,average
tesis,"thesis, theory, theses (pl.)"
sustancias,"substances, (you) back up, (you) substantiate"
atmósfera,atmosphere
laboratorio,"laboratory, lab"
profundidad,"depth, the depths"
proporción,"proportion, proportions"
descubrimiento,"discovery, find"
observación,"observation, comment, note"
núcleo,"nucleus, core, center"
química,"chemistry, chemical"
