Word,Translations
voy a,I will
vas a,you'll
va a,going to
próxima,next
maletas,"suitcases, bags"
pasaportes,passports
boletos,tickets
vamos a,we are going to
van a,going to
adónde,where
carros,cars
avión,"plane, airplane"
llegar,"(to) arrive, (to) be, (to) get"
listo,"ready, smart"
pronto,soon
estar,"be, (to) be, (to) stay"
por,"for, in, by"
taxis,taxis
veintiséis,"26, twenty-six"
veintisiete,"27, twenty-seven"
llega,"(?) does it arrive, (he) arrives, (it) arrives"
minuto,minute
cuarto,"room, bedroom, quarter"
veintiocho,"28, twenty-eight"
menos,"less, minus, fewer"
cámara,camera
veintinueve,"29, twenty-nine"
treinta,"30, thirty"
