Word,Translations
erais,"(you) were, were"
estabais,"(you) were, were"
bebíais,"drank, (?) did you drink, drink"
comíais,"(you) ate, ate, (?) did you eat"
teníais,"(you) had, had, (?) did you have"
veíais,"watched, (you) used to watch, (?) did you use to see"
hacíais,"(you) were doing, do, (?) did you do"
caminabais,"(you) used to walk, (?) did you use to walk, (you) walked"
ibais,"go, (you) were going to, (you) used to go"
decía,(they) said
parecías,looked
sabía,"(he) knew, (she) knew"
daba,"(I/he/she/it/you) used to give, (I/he/she/it/you) used to give on to, (I/he/she/it/you) used to lead to"
llevaba,"Wearing, (I/he/she/it/you) was/were wearing, (I/he/she/it/you) was/were taking"
sentía,(he) felt
tratabais,"(you) were trying, tried, (you) tried"
encontraba,"(I/he/she/it/you) used to find, (I/he/she/it/you) used to meet, (I/he/she/it/you) used to be"
seguía,"(I/he/she/it/you) was/were following, (I/he/she/it/you) was/were continuing, (I/he/she/it/you) was/were taking"
venía,"(I/he/she/it/you) was/were coming, (I/he/she/it/you) was/were arriving, (I/he/she/it/you) came"
pensaba,"(I/he/she/it/you) thought, (I/he/she/it/you) thought about, (I/he/she/it/you) was/were thinking about"
quedaba,"There was, (I/he/she/it/you) was/were staying, (I/he/she/it/you) was/were"
esperabais,"(you) used to wait, (you) waited, waited"
hablabais,"(you) used to talk, (?) did you talk, talk"
conocíais,"knew, (you) used to know, (?) did you know"
pasaba,"(I/he/she/it/you) used to pass (on), (I/he/she/it/you) used to spend, (I/he/she/it/you) used to happen"
llamaba,"(I/he/she/it/you) used to call, (I/he/she/it/you) used to call out, (I/he/she/it/you) used to call up"
dejaba,"let, (I/he/she/it/you) used to let, (I/he/she/it/you) used to leave"
creíais,"(you) believed, (you) used to believe, believe"
llegaba,"arrived, (I/he/she/it/you) used to come, (I/he/she/it/you) used to arrive"
mirabais,"watch, (you) watched, (?) did you use to watch"
queríais,"(you) loved, (you) wanted"
necesitabais,"(you) needed, (?) did you need"
