si,"if, when, whether"
matemáticas,math
reprobamos,"fail, failed"
reprobaron,(they) failed
reprobó,(he) failed
reprobar,"fail, failed"
reprobé,(I) failed
repruebas,fail
reprueban,"fail, (they) are failing"
repruebo,fail
cursos,courses
curso,"course, class, grade"
ortografía,spelling
principiantes,beginners
principiante,beginner
vocabulario,vocabulary
deletrear,"spelling, (to) spell"
segundo,"second, 2"
segundos,"seconds, second-in-command, deputies"
basurero,"dustbin, wastebasket, trash can"
basureros,wastebaskets
mal,"bad, wrong, badly"
medias,"stockings, socks, tights"
suficientes,enough
suficiente,enough
básica,"basic, primary / elementary education"
básicos,"basic, simple"
básico,"basic, simple"
básicas,"basic, basics, primary / elementary education"
incluso,"even, including"
borrador,eraser
borradores,erasers
me apuro,I hurry
se apura,(she) hurries
se apuran,they hurry
nos apuramos,we rush
te apuras,hurry up
guantes,gloves
guante,glove
tijeras,scissors
cortaré,pick
cortó,"(she) cut, (?) did he cut"
corto,short
cortan,"(they/you-plural) cut, (they/you-plural) cut off, (they/you-plural) cut out"
cortamos,"we're cutting, cutting"
cortar,(to) cut
corta,short
sumar,"(to) add, add"
suma,"sum, (he/she/it) adds, (he/she/it) adds up"
imprimiendo,printing
imprimir,(to) print
cuadrado,square
cuadrados,"square, squares"
menos,"less, minus, fewer"
apurarme,"hurry, (to) hurry"
apurarnos,"hurry, (to) hurry"
apurarse,"hurry, (to) hurry"
apurarte,"hurry, (to) hurry"
espacios,"spaces, areas, gaps"
espacio,"space, room, (I) space … out"
estantería,"bookcase, bookshelf, shelf"
estanterías,bookcases
