a la venta,for sale
agregar,"add, (to) add, put"
agregué,"add, (I) added"
colección,collection
costo,"cost, costs, hash"
descuento,"deal, discount"
devolver,"returning, (to) give back, (to) return"
escoger,"(to) choose, (to) pick, choose"
escogerás,(?) will you choose
escojo,(I) choose
gustarían,"liked, would like, like"
lana,"wool, cash, dough"
me lo quedo,I'll take it
me quedaré con,I will stay with
me quedo con,I prefer
mezclar,"mixing, mix, (to) mix"
mitad,"half, middle"
nos quedamos con,we stay with
nos quedaremos con,we will stay with
oferta,"offer, sale"
pagué,"pay, paid, I paid"
pc,pc
propina,tip
quedarme con,stay with
quedarse con,"keep, stay"
quedarte con,stay with
qué le gustaría para empezar,what would you like to start with
qué le traigo,what do I bring you
qué te traigo,what can I bring you
salchicha,sausage
salchichas,"sausages, sausage"
se queda con,you stay with
se quedaron con,they stayed with
se quedó con,he stayed with
segura,"safe, sure"
sin embargo,"yet, although, however"
suficiente,enough
te quedarás con,you will stay with
te quedas con,you stay with
trozo,"slice, piece"
trozos,pieces
