alejada,"remote, far away"
alejadas,far away
alejado,far away
alejados,"far, removed"
auxilio,"(I) help, (I) attend, help"
caernos,fall
caerte,(to) fall
cambio,"change, (I) change, return"
cambios,changes
cerebro,"brain, brains"
cerebros,"brain, brains"
comer mucho,eat a lot
en forma,fit
fácilmente,easily
gravemente,"gravely, seriously, badly"
horrible,"horror, horrible"
inmediatamente,immediately
me olvido,I forget
me veo,"(I)  imagine, (I)  see, (I)  watch"
medicina,medicine
medicinas,medicines
molesta,"(you-formal) upset, (you-formal) disturb, (you-formal) bother"
molestas,upset
molesto,"(I) am a nuisance, (I) bother, (I) disturb"
molestos,upset
muerta,dead
muertas,"dead, dead beat, disused"
muerto,"died, dead, finished"
muertos,"dead, dead beat, death"
nacer,"born, (to) be born, (to) hatch"
nos olvidamos,"(we)  leave … behind, (we)  forget, (we)  forgot"
nos vemos,see you
olvidarnos,"(to) forget, forget"
olvidarse,"(to) forget, forget"
pelo,hair
reírme,(to) laugh
reírnos,(to) laugh
reírse,"(to) laugh, laughing, laugh"
reírte,"(to) laugh, laugh"
rápidamente,"quickly, rapidly, fast"
sangre,blood
se olvida,"(he/she/it)  leaves … behind, (he/she/it)  forgets"
se olvidaron,they forgot
se ve,"(she) looks, (?) does it look, (you) can see"
se ven,"(it) looks, (they) look"
te olvidas,"(you)  forget, (you)  leave … behind"
te ves,"(you)  imagine, (you)  see, (you)  watch"
trabajar mucho,work a lot
usual,"normal, usual"
vendaje,"bandage, dressing"
vernos,(to) look
verse,"look, show"
