a pie,walking
anual,annual
barrio,neighborhood
barrios,neighborhoods
circo,circus
cola,line
enorme,enormous
enormes,huge
entera,whole
festival,festival
festivales,festivals
frutería,fruit store
habitante,habitant
las afueras,the outskirts
mayoría,most
monumento,monument
monumentos,monuments
parque de atracciones,theme park
pasado mañana,day after tomorrow
pasando,going
pasar,happen
pensar,to think
piensan,think
piensas,do you think
plaza,square
plazas,plazas
principal,major
principales,main
quiosco,kiosk
solamente,only
terraza,terrace
