abuelita,granny
abuelitos,grandparents
aconseja,advise
aconsejan,advise
aconsejas,do you advise
aconsejo,I advise
adulta,adult
adulto,adult
bajita,short
bajitas,short
bajito,short
bistec,steak
casaron,got married
crecieron,they grew up
crecimos,we grew up
creciste,you grew up
creció,grew up
crecí,I grew up
gatito,little cat
genial,brilliant
graduada,graduated
graduado,graduate
graduados,graduates
hermanito,little brother
igual,Same
iguales,equal
jalea,jelly
llevarme bien,get along
llevarnos bien,to get along
llevarse bien,get along
llevarte bien,get along
me llevaba bien,I got along
me llevo
                    bien,I get on well
mesita,small table
normal,normal
nos casamos,We married
nos llevamos bien,we get along
pequeñita,tiny
pequeñito,tiny
pequeñitos,little ones
perrito,puppy
pesca,fishing
poquito,a little
ratones,mice
ratón,mouse
rosa,pink
se casan,they marry
se casó,got married
se llevan bien,get along
se llevaron bien,They got along well
se llevó bien,got along
soltera,single
soltero,single
solteros,singles
te casas,You get married
te llevabas bien,you got along
te llevas bien,you get along
